gene_ID,Log2FC,padj
LOC101750757,3.527177614,9.84E-11
LTC4SL,3.526993792,2.10E-09
FAM150A,3.526954178,3.77E-06
HDC,3.511309137,2.23E-11
RNF157,3.511163953,1.63E-14
RBM47,3.510652987,1.36E-13
TESPA1,3.509199916,2.53E-10
CFH,3.508414373,2.80E-16
THEMIS2,3.49677164,5.12E-13
IRX6,3.495467529,1.37E-45
PLG,3.490907664,2.20E-08
AT2,3.490721166,0.000143987
MAT2A_1,3.488182894,0.004061346
CSF3R,3.482630391,1.96E-17
CD48,3.481451581,1.90E-18
LOC101749170,3.478364158,0.000204224
C5AR1,3.477908615,2.25E-16
LOC418667,3.477488146,1.63E-13
LOC107050008,3.471029463,0.000728305
ZNF804B,3.470048611,7.96E-08
SLC1A6,3.467650984,6.04E-28
PGR2/3,3.467302936,0.000306971
CSTA,3.46678827,3.75E-10
PDE6B,3.461900907,2.64E-06
MPO,3.460535814,0.000137612
ARHGAP30,3.45767584,3.85E-17
SPI1,3.446997187,6.70E-26
LOC112532580,3.444209537,1.23E-05
ATP1B1,3.443679013,1.17E-40
RBP7,3.441419308,3.31E-17
RASSF5,3.431452241,2.16E-12
CASP18,3.427296567,5.76E-12
LOC112531103,3.426339618,0.004135806
SCN5A,3.42069945,0.000104595
KCND3,3.420379773,1.25E-10
TARP,3.419602685,3.31E-10
DOCK2,3.419030274,1.37E-18
SRGN,3.417046438,5.84E-15
KNG1,3.409621769,4.01E-10
GCHFR,3.40351616,6.74E-12
IFI30,3.403411032,5.55E-24
KCNS3,3.402297916,0.003315699
HCK,3.401955183,5.90E-10
DIRAS2,3.401856419,8.85E-05
BCL2L14,3.401742436,4.45E-08
CSF2RA,3.400941568,6.08E-18
ATP6V1C2,3.397515586,9.03E-09
FAM19A2,3.393872932,0.000446472
RAB37,3.391238314,9.20E-09
HBE,3.389255894,0.01004901
TAAR1,3.385121509,1.86E-06
CYTH4,3.384210401,1.95E-11
CXCR1,3.379133606,1.48E-11
BLNK,3.377011107,1.33E-18
IGFALS,3.36782985,0.000621748
TNFRSF19,3.36677324,1.41E-08
MZB1,3.364984667,0.00017669
GSTT1,3.360870888,3.40E-22
ADARB2,3.360787999,0.00513389
PSTPIP1,3.356056406,3.59E-16
LRRC56,3.353312189,0.00426556
NCF1,3.344774625,5.24E-12
CDH22,3.335734662,0.001538925
FAM109A,3.330217268,3.41E-14
HABP2,3.329459462,8.99E-07
PHACTR3,3.328862316,7.91E-15
CRCBL,3.328563095,5.57E-12
LOC107050812,3.327453605,0.000804315
TROJANZ,3.324400246,1.28E-18
SELPLG,3.322922786,5.24E-15
SERTM1,3.317910428,1.74E-08
TRIL,3.316777335,4.96E-11
LOC107051274,3.316181412,0.005174015
IGSF1L6,3.313077779,0.005945526
RBP1,3.308940719,3.58E-05
ATP2B2,3.307360501,1.25E-10
IL5RA,3.306791461,5.97E-06
LOC112532110,3.303338186,0.00404624
SIGLEC1,3.302968032,1.00E-11
DPP10,3.300453195,4.06E-09
MSLNL,3.298730774,6.53E-08
NTN4L,3.296326926,4.66E-10
COL24A1,3.291635796,2.66E-14
LOC107049200,3.290776761,0.026342073
RNASE6,3.290089741,2.01E-10
TESC,3.285667963,2.19E-09
LOC107050748,3.281332974,0.007434377
LOC100858647,3.280424338,3.42E-08
MMR1L4,3.280215128,9.35E-09
CADM1,3.277998546,1.84E-32
MGAT5B,3.277608773,7.66E-16
EYA2,3.2751951,1.27E-10
SLC26A1,3.272245598,0.000170435
ADAM19,3.271359935,3.82E-08
CUX2,3.271216533,2.14E-06
CD36,3.268906262,3.23E-05
SNX10,3.268004307,5.72E-20
IL12B,3.266967058,0.001089026
PRLL,3.266221804,0.00332334
CCBE1,3.260600752,2.45E-22
CCR5,3.260531413,1.45E-10
OVSTL,3.254500222,0.000223416
CDK15,3.253791265,0.000554303
LOC100857892,3.246041969,0.000114607
HRH4,3.245738519,5.58E-07
UNC5C,3.244290929,2.46E-23
IGSF11,3.240870855,0.000130856
SLC2A6,3.240627141,3.53E-10
GLIPR1L,3.239437813,1.60E-15
CYSP1L,3.235818968,0.007158263
STON2,3.2332762,3.10E-13
LOC415661,3.23239523,0.000316973
MLNR,3.230762463,0.00207128
LOC107050774,3.229283199,0.003367314
MYO1F,3.228379332,1.02E-19
PDCD1,3.223094215,1.66E-08
GMIP,3.217491063,3.80E-12
LRMP,3.215912269,5.91E-18
LOC107054744,3.215217133,2.24E-09
FAM78A,3.213652656,1.69E-19
DRCC1,3.204093295,6.00E-28
VCAM1,3.20178711,1.44E-07
NCF2,3.200614239,5.48E-15
LYN,3.188681087,1.41E-23
LOC107052216,3.180159638,0.007104426
LOC112531851,3.178038214,0.025883244
LOC107053021,3.177355001,0.007423034
PTPN6,3.176487641,2.28E-17
SLIT2,3.173447482,7.77E-32
USP35,3.172536413,0.000260283
ARHGAP15,3.167581998,2.17E-16
LOC112531114,3.16491985,0.006656906
ADAM28,3.164556373,1.19E-10
ITGB3,3.162718166,5.88E-31
IGSF1L3,3.162531282,1.48E-11
ARSE,3.162153641,0.004246993
TRPM2,3.161925073,6.80E-10
LOC101749734,3.159147375,0.007324414
DGAT2,3.157390533,1.89E-06
ABCA8,3.151922783,6.71E-13
TMEM40L,3.150215975,5.28E-06
LOC100857883,3.144791419,9.94E-18
CHIR-IG1-5,3.14478147,1.02E-05
GFI1,3.143232754,1.39E-12
CHST9,3.142637329,0.000166885
CSF1R,3.141780486,1.85E-23
PLEKHA2,3.140730788,2.19E-26
LOC107050615,3.140094732,0.01205121
F8,3.137612732,1.51E-08
LOC107049370,3.137556783,0.000493655
EVI2A,3.13609854,2.82E-14
ICOS,3.133804382,1.50E-10
IGSF6,3.133315295,1.20E-18
