"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SIGMAR1",1104.8585147408,0.106332171763111,0.205898458573062,0.56030383214889,0.755668934477328,0.96762943051836
"gene-GALT",248.334247203689,0.603489905497108,0.401134252830677,2.88006122314988,0.236920506061289,0.777877978176591
"gene-CNTFR",321.704329619597,-0.672944226641765,0.363592276971806,3.69503971476013,0.15762762090263,0.714993682110804
"gene-IL11RA",150.593497079416,-0.182331634050526,0.220960048290856,0.874227198181686,0.645898053811199,0.945047639881807
"gene-PHF24",15.5184117493956,-0.0723262393032771,1.07637301956959,0.784849234103703,0.675417259377816,0.949934218536666
"gene-DNAJB5",166.971685566959,0.141402365414671,0.223629446498905,0.827973193728894,0.661009810810635,0.949226316512839
"gene-VCP",6726.19458693426,0.311017326513828,0.334368458864717,0.995391929185075,0.607929738973473,0.934867378512268
"gene-FANCG",546.971886969739,0.314308119093987,0.314672314299354,1.00851368301842,0.603954242414349,0.933322098901825
"gene-PIGO",439.709847055108,-0.00612029355423918,0.223815796816379,0.339764123761839,0.843764322705654,0.979637446039722
"gene-STOML2",2956.55192053717,0.540534962693919,0.24535673059621,4.82869353034562,0.0894257358513278,0.619279701648055
"gene-FAM214B",57.4489128272199,0.953424678770545,0.394714426231033,6.5837383777951,0.0371842799540034,0.45788398993795
"gene-UNC13B",117.05629509066,0.485682599326665,0.403949668558002,6.63419530658454,0.0362579122224755,0.452377352407467
"gene-ATP8B4",226.77128865695,-0.3817592907155,0.251784683211327,3.5264959536466,0.171486972592128,0.728445741058251
"gene-RUSC2",63.5356257392061,-1.54910874986465,0.652915841690244,6.32643718516201,0.0422894094207525,0.481398976533181
"gene-LOC100858919",18.6237996991868,-0.287609363126476,0.743560030075213,0.705193425505115,0.702860590941145,0.955763645379643
"gene-TROJANZ",9.2600295699306,-0.17310419261921,0.88152243901921,0.498904053149566,0.77922766215258,NA
"gene-TESK1",86.0626687546486,-0.316378189030314,0.299986635692707,1.35948447600529,0.506747595805014,0.909432620347825
"gene-LOC100859284",124.283186208668,0.501713989364139,0.311065113850782,3.49014698349389,0.174632154473097,0.729380496718487
"gene-TMEM8B",43.6921165097081,-0.625244085700368,0.486406688015048,1.74412290656483,0.418088789775974,0.888638223016608
"gene-TAF1C",242.639417266597,0.231233709251228,0.398781197358151,0.34630413607448,0.841009714423515,0.979637446039722
"gene-HINT1",358.761598925526,0.86896707308369,0.437440192928558,4.55464356146103,0.102558513411703,0.643311078921102
"gene-NPR2",1044.44809518547,-0.221587189992012,0.352030511933818,0.417077340568682,0.811769642732676,0.976669043876907
"gene-MSMP",7.0694272600603,0.317930272841327,1.03787541145304,0.121883379642142,0.940878100946928,NA
"gene-RGP1",412.644346039115,0.588980642266418,0.401773426655952,2.13649483762136,0.343610194784322,0.850848429581291
"gene-GBA2",949.453095897448,0.28288318096049,0.215978929232254,1.77563331531715,0.411553334352472,0.885096870194997
"gene-AVD",22.8080579020505,-0.433619063959565,0.894018539930338,0.271228346318424,0.873179463579177,0.983447054367746
"gene-CREB3L4",1039.22723219931,-0.00638907715647042,0.199449062872175,0.0369311776215113,0.981703855607723,0.99734548645161
"gene-TLN1",3260.50180666126,-0.27653410935406,0.201267952699277,1.98536800183228,0.370580716039713,0.8639112634528
"gene-TPM2",4428.26318638084,0.0945423727472681,0.383133681912421,0.131524644844006,0.936353388051538,0.988827177699265
"gene-APH1AL",255.961734509771,0.0274581163780249,0.231398146069358,1.00784743839247,0.604155466562778,0.933322098901825
"gene-CA9",1529.20258552372,-0.010840941320992,0.266122891141728,0.0390569487476569,0.980660971084018,0.99734548645161
"gene-MYO3AL",2508.70680228053,-0.366941037752492,0.271746203569983,1.91969689135701,0.382950919444152,0.871542099287424
"gene-ARHGEF39",631.606330506033,0.0268562542421078,0.420597042085164,0.232864411780895,0.890090437819931,0.984732085153753
"gene-MRPL17",2461.97105239076,0.96300086424422,0.430201029023164,4.92300202420884,0.0853068082677095,0.607660820864705
"gene-CCBE1",282.358365433999,0.0773280127164783,0.406464722592526,0.118887773641518,0.942288406906045,0.989275433963008
