,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
DFNA5,1167.105485,-0.230013211,-5.11E-06,0.001442668,-1.064825408,0.286954945,0.999928958
DFNB59,7.823665024,0.060331465,1.02E-07,0.001442693,0.075897986,0.939500259,0.999928958
DGAT2,101.5074261,0.359898442,3.01E-06,0.001442685,1.024663921,0.305521792,0.999928958
DGCR14,613.9216059,-0.266370063,-4.14E-06,0.001442676,-1.032119856,0.302015973,0.999928958
DGCR2,3147.794891,-0.156634583,-6.13E-06,0.001442645,-0.961996348,0.336051438,0.999928958
DGCR6,1584.832531,0.017860543,4.24E-07,0.001442662,0.083976042,0.933075481,0.999928958
DGCR8,2718.339028,0.326808392,5.65E-06,0.001442676,1.333337734,0.182420996,0.999928958
DGKA,172.5023548,-0.071532616,-1.12E-06,0.001442673,-0.278256569,0.780815413,0.999928958
DGKB,258.4754617,-0.273711648,-3.22E-06,0.00144268,-0.921769188,0.356648983,0.999928958
DGKD,918.8688129,0.192120469,7.54E-06,0.001442648,1.179237267,0.238303711,0.999928958
DGKE,1287.506722,0.053450396,1.36E-06,0.001442659,0.263214243,0.792385453,0.999928958
DGKG,38.74041679,-0.25196058,-1.28E-06,0.001442688,-0.556382881,0.577949139,0.999928958
DGKH,514.0284301,0.147914373,1.58E-06,0.00144268,0.471871098,0.637018799,0.999928958
DGKI,23.61280702,0.648169901,2.42E-06,0.001442691,1.226241749,0.220107715,0.999928958
DGKK,11.92800552,-0.044356351,-8.07E-08,0.001442692,-0.059725263,0.95237445,0.999928958
DGKQ,333.5487637,0.114641349,1.18E-06,0.001442681,0.359211887,0.719436585,0.999928958
DGKZ,803.8336973,0.128684643,4.02E-06,0.001442653,0.704648144,0.48102923,0.999928958
DGUOK,482.5613049,-0.171752696,-1.84E-06,0.00144268,-0.55269106,0.580474976,0.999928958
DHCR24,729.2346808,0.147197195,4.00E-06,0.001442659,0.751398871,0.452412642,0.999928958
DHCR7,884.1414827,-0.029240554,-8.12E-07,0.001442655,-0.152062705,0.879137479,0.999928958
DHDDS,481.1056901,-0.01011297,-1.78E-07,0.001442668,-0.042694577,0.965945002,0.999928958
DHDH,55.82861686,-0.60763077,-5.50E-06,0.001442687,-1.801107953,0.071685866,0.999928958
DHFR,2393.690694,-0.263468687,-1.90E-06,0.001442685,-0.697395816,0.485555119,0.999928958
DHODH,708.6109442,-0.161235649,-3.52E-06,0.001442666,-0.739798865,0.459422048,0.999928958
DHRS11,932.8292865,-0.238400498,-5.88E-06,0.001442666,-1.16290771,0.244866949,0.999928958
DHRS12,68.09290784,0.229094107,1.72E-06,0.001442685,0.613097804,0.539811672,0.999928958
DHRS13,46.68557602,0.632948843,1.60E-06,0.001442692,0.98807951,0.32311371,0.999928958
DHRS3,2344.900757,0.320128421,3.57E-06,0.001442681,1.048115625,0.294585338,0.999928958
DHRS4,657.8935803,0.111811043,8.90E-06,0.001442683,0.44513846,0.656219696,0.999928958
DHRS7,1162.978647,-0.068785318,-3.00E-06,0.001442633,-0.446276306,0.655397669,0.999928958
DHRS7B,472.4638715,0.057987213,1.32E-06,0.001442663,0.269584447,0.787479967,0.999928958
DHRSX,192.0984983,-0.082706399,-1.66E-06,0.001442666,-0.364427984,0.715538442,0.999928958
DHTKD1,785.1985456,0.008050795,3.82E-07,0.001442629,0.053600127,0.957253755,0.999928958
DHX15,5842.4991,-0.184500898,-1.40E-05,0.001442627,-1.525658572,0.127094917,0.999928958
DHX29,2541.137772,0.064444511,1.17E-06,0.001442669,0.268074639,0.788641866,0.999928958
DHX30,2069.76255,0.050834922,1.50E-06,0.001442653,0.269151136,0.787813381,0.999928958
DHX32,24.27102234,-0.381058612,-1.17E-06,0.001442691,-0.65796677,0.510559484,0.999928958
DHX33,2334.179751,-0.093303312,-3.51E-06,0.001442643,-0.562076562,0.574063857,0.999928958
DHX34,500.0888242,0.037768607,8.61E-07,0.001442663,0.175662952,0.860558743,0.999928958
DHX35,475.3313467,0.039390631,1.64E-06,0.001442636,0.248911802,0.803429006,0.999928958
DHX36,3131.406411,-0.036785772,-1.55E-06,0.001442634,-0.234654556,0.814476862,0.999928958
DHX37,861.4217036,-0.131175057,-5.38E-06,0.001442641,-0.824009247,0.409934304,0.999928958
DHX38,2862.596873,-0.068461184,-2.56E-06,0.001442642,-0.411797817,0.680487621,0.999928958
DHX40,728.1260575,-0.077631073,-2.44E-06,0.00144265,-0.427943121,0.668692532,0.999928958
DHX57,902.6692589,-0.015991706,-3.79E-07,0.00144266,-0.077339435,0.93835352,0.999928958
DHX8,1338.686588,0.117086499,7.38E-06,0.001442614,0.910927245,0.362333709,0.999928958
DIABLO,878.5369591,-0.262304988,-7.86E-06,0.001442663,-1.411008079,0.158242232,0.999928958
DIAPH2,1802.104274,0.143157649,4.13E-06,0.001442657,0.752932759,0.451490321,0.999928958
