pathway,gene,baseMean,mean_norm_Sacral,mean_norm_Free,mean_norm_Pygo,norm_Sacral_1,norm_Sacral_2,norm_Sacral_3,norm_Sacral_4,norm_Free_1,norm_Free_2,norm_Free_3,norm_Free_4,norm_Pygo_1,norm_Pygo_2,norm_Pygo_3,norm_Pygo_4,Sacral_vs_Free__log2FC,Sacral_vs_Free__log2FC_shrunken,Sacral_vs_Free__lfcSE_shrunken,Sacral_vs_Free__stat,Sacral_vs_Free__pvalue,Sacral_vs_Free__padj,Sacral_vs_Free__DE_call,Pygo_vs_Free__log2FC,Pygo_vs_Free__log2FC_shrunken,Pygo_vs_Free__lfcSE_shrunken,Pygo_vs_Free__stat,Pygo_vs_Free__pvalue,Pygo_vs_Free__padj,Pygo_vs_Free__DE_call,Sacral_vs_Pygo__log2FC,Sacral_vs_Pygo__log2FC_shrunken,Sacral_vs_Pygo__lfcSE_shrunken,Sacral_vs_Pygo__stat,Sacral_vs_Pygo__pvalue,Sacral_vs_Pygo__padj,Sacral_vs_Pygo__DE_call
TNF–NF-κB,TNFRSF1A,1504.56246576121,801.768442156279,2419.84731519461,1292.07163993274,673.079729812873,799.931009511983,891.822313075091,842.240716225169,2484.04328546461,2688.3012975758,1964.14084344944,2542.90383428857,1572.24844438949,1479.4835468278,1002.39237700544,1114.16219150824,-1.59430436246172,-1.56563311207856,0.182985733473571,-8.74469368373805,2.23621476893682e-18,1.01506948857663e-16,Free_up,-0.906084015812548,-0.863745697422501,0.182135227476032,-4.98734512569714,6.12146558265037e-07,7.76833729101502e-06,Free_up,-0.688220346649175,-0.626736543481298,0.184035861418299,-3.76374708006288,0.0001673861815828,0.0016205838515508,Pygo_up
TNF–NF-κB,TRAF2,1470.21948346962,1086.12447602391,1445.2093412521,1879.32463313284,975.639774334565,1268.88208200628,1130.08695102524,969.88909672955,1095.01124811821,1333.92897085035,1786.49670573132,1565.40044030852,2221.53875760154,1978.34931189467,1765.11879138794,1552.29167164723,-0.411442499502471,-0.386803518670084,0.182130158437267,-2.20882613690986,0.0271867363424568,0.0701328660794919,not_sig,0.378786123603722,0.346172898030183,0.18010292285289,2.03918407323223,0.0414316598435142,0.0942877843180012,not_sig,-0.790228623106193,-0.729994776380347,0.188198452221012,-4.24720516870337,2.16453726882135e-05,0.000324186152876,Pygo_up
TNF–NF-κB,TNFAIP3,1470.20846591707,1296.61567984997,1282.8052259132,1831.20449198805,703.801211256614,1614.18689101334,1444.06184776329,1424.41276936665,948.000853504118,1276.00612920423,1756.33072008107,1150.88320086336,2012.2633673927,2127.23892273795,1644.86534347537,1540.45033434618,0.0155301594237853,0.0143074295084883,0.25202245126558,0.0573740544631196,0.95424723048731,0.972961193452374,not_sig,0.513543659093411,0.434180465295832,0.258304173891446,1.89861801105996,0.057614718549828,0.12287114353543,not_sig,-0.498013499669626,-0.373864004673201,0.255490306722305,-1.84132745111455,0.0655735872792848,0.150184257145375,not_sig
TNF–NF-κB,TRADD,1354.97764353067,1295.02602342608,1119.35531615176,1650.55159101415,1047.32323103663,1365.38648277682,1356.10434123029,1411.29003866059,1049.61097919327,1186.56644725066,1264.73687985482,976.506958308306,1558.83335527354,2051.08274247903,1623.00108021854,1369.28918608549,0.21009679479393,0.199358929641081,0.16157281577417,1.26854724254902,0.204602590998513,0.339904167877485,not_sig,0.560838328559351,0.528379041292796,0.163521823562183,3.39104533798759,0.0006962658201853,0.0032935187213737,Pygo_up,-0.350741533765421,-0.308188221491142,0.159554420234364,-2.12341637381299,0.033718976321377,0.0917784498489141,not_sig
TNF–NF-κB,NFKB2,1299.1769449219,1065.77483646667,1200.05144689209,1631.70455140694,1028.70415137375,1470.18423048856,787.164014162408,977.046949841946,1034.47755621829,1125.23637962536,1510.53379996795,1129.95805175675,1821.76910194619,1981.77206156922,1538.06682679778,1185.21021531456,-0.170136228851295,-0.152600891226168,0.221046076587472,-0.732019473436805,0.464156682016081,0.610291573212321,not_sig,0.443463186981886,0.388474256465997,0.222739687813664,1.91083164281395,0.0560262198867468,0.120134710592912,not_sig,-0.613599415833181,-0.514893632762297,0.230862537721943,-2.64275169627045,0.0082235318284613,0.0321371267018215,Pygo_up
TNF–NF-κB,NFKBIA,1231.21740768278,826.900370655798,1670.08715508652,1196.66469730601,461.75317563926,1056.27082405871,866.214431426243,923.363051498982,1813.84883942977,1804.12615597768,1431.20843029507,1631.16519464357,996.741121315182,1439.26623815174,1062.09863436063,1288.55279539649,-1.0141417722386,-0.953524243370656,0.240430904113309,-4.21536639390069,2.49372992180836e-05,0.0001613541696117,Free_up,-0.480650471777361,-0.418336139566438,0.23095790105536,-2.00098792679914,0.045393690989146,0.101734967917566,not_sig,-0.533491300461236,-0.429271600216823,0.234200264444702,-2.2149816589889,0.0267613234441184,0.0776585048653764,not_sig
TNF–NF-κB,RIPK1,946.913403597847,1092.78181015954,950.503540117006,797.454860516997,942.125430941393,1054.00900216565,1204.68382365449,1170.30898387662,1092.84933055036,1086.90508735954,839.061304567994,783.198437990131,761.977061786034,821.459921893979,829.160137355173,777.222321032802,0.20016927683632,0.191608475435203,0.146022383061388,1.34311734492675,0.179233980043891,0.3082837934569,not_sig,-0.25310781004606,-0.236826264002602,0.145604783502999,-1.69093754634239,0.0908487313336081,0.175798774749835,not_sig,0.453277086882379,0.414554581090873,0.147521904932908,3.03353489528168,0.002417067556942,0.0126390036805628,Sacral_up
TLR / cGAS-STING,NFKB1,2361.97769625342,2178.4140829476,2585.6964849046,2321.82252090806,2152.36560902816,2518.16170760605,2000.75492708606,2042.3740880701,2479.7194503289,2767.51930159182,2789.79504328399,2305.75214441369,2279.22364080013,2109.26948694652,2210.8133885464,2687.98356733921,-0.246675887394833,-0.238490912333983,0.124448969077098,-1.95468585978448,0.0506201600946419,0.115936178815634,not_sig,-0.155604690753657,-0.147681523839191,0.123270841184694,-1.23332680094254,0.217453862602459,0.345502219498414,not_sig,-0.0910711966411759,-0.0820821329091828,0.12049002125134,-0.721051417889886,0.470877880003287,0.616040432302272,not_sig
TLR / cGAS-STING,TRAF6,1795.6262322594,1817.06864353541,1889.8444571498,1679.96559609298,1644.99568821486,1988.14144399915,1883.84938042828,1751.28806149936,2048.41689554197,1916.56461329073,1863.58755794862,1730.80876181788,1900.9181277303,1567.61935094768,1559.09015685242,1692.2347488415,-0.0562663972639861,-0.0547290677245169,0.108897414245914,-0.510261163787242,0.60986850687429,0.733707249554574,not_sig,-0.170990815939464,-0.164539383393003,0.108534808137434,-1.5485619355499,0.121487062208432,0.220413575431809,not_sig,0.114724418675478,0.106616334002197,0.106688847173723,1.03869818318182,0.298945126398179,0.449159819446379,not_sig
TLR / cGAS-STING,TRAF3,1754.78471098842,1607.3949417169,1955.50106357729,1701.45812767105,1141.34958333414,1925.56437162451,1807.02573548174,1555.64007642723,2086.25045297942,2093.74036420827,1852.41497067075,1789.59846645073,1788.23137915631,1672.86890344034,1694.48040240433,1650.25182568322,-0.282706861532049,-0.267623222715663,0.158444693595482,-1.74560746816169,0.0808791836559674,0.167609504039987,not_sig,-0.20099896243061,-0.185374064669802,0.156292624646968,-1.24129134888031,0.214498139389937,0.341495621351684,not_sig,-0.0817078991014396,-0.0688508977367653,0.150318357914446,-0.504080943862791,0.61420449741971,0.737420292832902,not_sig
TLR / cGAS-STING,MYD88,1517.35419935401,1253.0579811511,1908.99307772037,1390.01153919056,961.67546458741,1604.38566281009,1260.35313158677,1185.81766562014,1902.4874597118,2005.1524887495,1627.84596638557,2100.4863960346,1411.26737499808,1513.71104357338,1195.80701350817,1439.26072468263,-0.606883728139531,-0.579935421873895,0.168445175251793,-3.56420432908829,0.0003649615808678,0.0017740018852563,Free_up,-0.458048615941722,-0.426178654916497,0.166906315304836,-2.69145292188568,0.0071141538346387,0.0225520396337381,Free_up,-0.148835112197809,-0.125710041116939,0.158074819557642,-0.87246329842797,0.382955681845502,0.533921199898478,not_sig
TLR / cGAS-STING,TBK1,1387.54514151786,1272.02022742642,1536.54221195891,1354.07298516824,1226.99734978336,1225.15352540714,1326.04291494686,1309.88711956832,1665.75748603175,1665.28169732595,1245.74348148244,1569.38618299549,1295.8976086009,1183.41569997851,1309.33299580325,1627.6456362903,-0.273246688599431,-0.263374248759918,0.137645757611942,-1.95275781485409,0.0508482993824627,0.11643609416217,not_sig,-0.183077922730688,-0.171850419839684,0.136108601415268,-1.30880146512192,0.190601610544628,0.312905857232953,not_sig,-0.0901687658687433,-0.0798222862201524,0.132307047219125,-0.643530768887233,0.519879756230833,0.659531428897806,not_sig
TLR / cGAS-STING,TICAM1,527.3363412867,574.621167066677,455.245877797282,552.141978996141,612.567720908534,505.14022278325,587.867891764854,592.90883281007,388.06420342985,579.228416461199,449.138008570351,404.552882727727,635.875224096092,705.086432958999,484.377524459006,383.228734470468,0.33459164593468,0.306645493247672,0.212102364347513,1.52079551157284,0.128311161143178,0.238476901387683,not_sig,0.277381380529938,0.242268811402046,0.207961799918665,1.25991484064211,0.207700084475677,0.333734022734097,not_sig,0.057210265404742,0.0473031745110514,0.191746537425765,0.260537502142232,0.794449191311842,0.870413048260524,not_sig
