gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
MOSPD1,882,695,732,998,423,642,566,619,617,747,577,609
MOSPD2,1186,861,1104,1549,438,1126,1063,607,643,888,905,918
MOV10,195,380,483,996,449,441,417,339,1040,275,812,370
MOV10L1,9,28,22,15,0,19,12,18,38,13,36,22
MOXD1,238,4348,6700,353,378,264,195,2354,527,2704,590,479
MPC1L,2897,1022,1190,1567,371,975,833,521,614,606,494,574
MPC2,1618,588,498,817,339,585,553,412,632,433,713,416
MPDZ,3841,3019,4378,4826,1760,3323,2837,2882,2349,6376,3490,3006
MPEG1,352,426,686,1717,1390,1123,1150,534,3152,400,1514,818
MPG,222,206,166,304,189,314,288,149,325,155,301,316
MPHOSPH10,846,581,625,941,371,674,664,434,526,672,926,700
MPHOSPH6,920,816,869,814,265,897,733,416,248,750,535,466
MPHOSPH8,1110,1070,1485,1708,768,1001,981,893,1280,1009,1433,1205
MPHOSPH9,532,528,772,1034,575,627,693,561,969,642,805,462
MPI,635,373,302,709,562,401,412,392,784,300,496,351
MPL,110,160,211,220,267,107,126,198,378,81,180,170
MPLKIP,1031,773,1034,1210,272,852,723,493,435,688,675,616
MPND,54,25,13,21,10,6,14,8,26,2,24,12
MPP1,5904,1001,1093,2138,1952,1331,1360,1006,3496,1043,2397,1411
MPP2,190,134,119,131,146,98,101,113,253,89,233,93
MPP3,348,422,760,402,246,291,299,454,338,677,360,257
MPP4,378,281,395,370,126,257,202,228,288,329,278,313
MPP5,1019,908,1071,839,321,463,439,539,452,1014,606,601
MPP7,1092,632,717,585,290,423,431,236,445,481,390,314
MPPE1,1042,760,1203,970,771,692,762,832,937,896,1138,1036
MPPED1,1550,1914,2873,2250,971,1868,1610,1724,1326,2261,1730,1583
MPPED2,2487,638,861,3318,864,2808,3010,772,1015,914,2081,1542
MPRIP,4259,5034,5747,4402,3504,2523,2461,4467,5443,6040,5975,4445
MPST,1005,521,624,574,566,430,409,700,1190,442,869,696
MPV17L2,219,214,373,306,250,200,282,374,538,339,489,293
MPZ,9,248,722,4,8,19,108,481,2,800,22,14
MPZL1,4925,5510,7344,6887,2517,4156,4017,4621,4289,5554,4198,4942
MPZL2,474,57,64,95,31,55,45,64,82,63,51,38
MPZL3,197,8,8,50,33,24,14,0,21,0,26,16
MRAP2,2,26,14,0,0,10,2,18,1,0,0,4
MRAS,1361,1630,1755,2081,1091,1516,1417,1709,2008,1940,2134,2182
MRC1,31,1274,1428,545,368,324,319,497,825,1089,400,286
MRC2,23569,25731,55237,31020,29521,21821,22390,43569,46426,47515,40203,27475
MRE11,896,743,995,1111,410,760,667,480,839,931,905,647
MREG,87,50,78,71,85,71,96,43,152,62,107,81
MRGBP,689,588,704,613,257,510,529,413,387,743,587,539
MRGPRH,10,14,14,172,102,92,98,22,276,6,212,66
MRI1,582,343,508,771,474,337,462,615,710,789,698,853
MRM1,753,493,806,804,594,505,541,864,940,758,762,695
MRM2,238,193,182,132,90,116,84,109,188,130,181,128
MRPL1,589,693,899,681,326,548,451,535,701,706,704,609
MRPL10,312,275,365,326,565,198,191,522,637,339,428,316
MRPL12,423,344,412,234,332,172,220,428,389,294,553,437
MRPL13,751,884,958,834,608,564,510,533,724,581,631,337
MRPL14,564,484,484,483,271,386,270,357,428,394,326,273
MRPL15,386,385,459,552,242,330,329,303,355,462,516,599
MRPL16,307,312,360,346,356,177,183,364,496,294,490,207
MRPL17,282,268,246,194,186,256,214,292,284,384,452,118
MRPL18,416,312,407,563,371,423,369,384,653,481,631,554
MRPL19,278,248,218,263,113,204,137,201,130,192,196,184
MRPL2,693,641,616,645,775,449,412,756,1153,523,978,588
MRPL20,291,230,266,253,175,156,197,143,209,261,379,293
MRPL21,343,283,339,436,235,295,182,250,353,526,326,372
MRPL22,604,494,626,554,329,442,350,397,563,600,565,561
MRPL23,355,338,412,417,211,272,239,358,341,458,334,274
MRPL24,526,574,648,895,780,626,588,720,1332,644,1116,886
MRPL27,187,194,192,249,167,104,136,165,229,214,214,210
MRPL28,392,453,475,489,473,273,242,324,608,575,460,300
MRPL3,1225,622,848,872,580,920,614,524,843,619,934,748
MRPL32,383,285,282,251,121,238,148,212,197,358,250,370
MRPL33,109,173,218,151,145,139,135,145,146,239,223,171
MRPL35,335,416,293,396,210,298,339,341,437,423,481,262
MRPL36,1340,1078,1161,1445,780,1100,1014,967,1022,782,1065,864
MRPL37,606,328,562,584,342,429,398,391,661,199,401,234
MRPL38,700,376,432,548,426,392,359,428,904,370,677,357
MRPL39,311,192,280,349,128,298,172,142,200,284,254,209
MRPL40,248,289,383,429,212,273,255,227,299,484,332,278
MRPL41,84,134,98,59,107,56,13,156,109,83,140,90
MRPL42,143,122,156,170,89,111,105,170,214,285,306,189
MRPL44,551,455,601,622,421,468,381,634,797,508,597,445
MRPL45,647,319,337,621,492,395,354,302,681,457,638,603
MRPL46,246,205,212,234,240,214,151,208,306,343,399,252
MRPL47,282,232,228,310,105,174,191,155,225,179,202,118
MRPL48,906,476,480,815,428,608,557,527,674,479,769,564
MRPL49,198,145,184,186,189,172,145,195,281,329,314,250
MRPL50,478,197,170,220,128,218,203,186,219,240,349,84
MRPL51,870,598,721,918,448,618,492,658,752,470,687,550
MRPL53,228,323,273,249,118,153,146,239,178,266,192,174
MRPL54,342,350,246,292,332,152,183,386,451,185,392,199
MRPL57,419,360,377,304,277,269,279,316,398,263,423,224
MRPL58,263,224,215,257,114,182,136,159,113,224,199,153
MRPL9,9,4,38,15,34,8,8,21,16,8,11,18
MRPS10,259,256,287,314,190,200,182,244,257,391,284,266
MRPS11,157,183,170,172,129,105,119,139,217,151,183,144
MRPS12,188,110,107,61,142,85,59,200,176,211,215,123
MRPS14,724,633,641,784,551,557,537,774,902,968,1147,930
MRPS15,634,666,609,547,378,564,477,464,560,866,777,562
MRPS16,305,324,384,366,243,263,238,308,366,186,332,177
MRPS17,1451,991,1076,1401,785,1061,962,1146,1091,1374,1383,1276
MRPS18A,452,528,416,460,265,385,294,405,553,299,357,291
MRPS18C,159,231,325,228,115,194,217,157,182,219,250,248
MRPS2,621,528,683,672,521,552,504,609,832,463,668,529
MRPS21,234,246,218,229,250,179,145,362,410,210,378,177
MRPS22,410,279,284,401,221,275,229,201,363,283,356,422
MRPS23,308,242,336,301,143,232,203,195,302,271,334,245
MRPS25,470,414,475,787,334,579,429,380,566,425,715,468
MRPS26,831,678,896,1186,914,796,722,841,1426,795,1402,848
MRPS27,678,337,273,300,181,348,331,235,237,592,488,318
MRPS30,551,173,379,336,235,434,369,342,300,528,597,265
MRPS31,1144,804,865,906,626,677,535,875,815,814,876,607
MRPS33,512,520,428,613,297,544,452,410,635,495,589,404
MRPS34,844,704,711,999,467,746,792,583,790,538,834,680
MRPS35,470,383,379,348,152,227,253,278,269,348,313,297
MRPS36,429,183,167,183,106,216,180,164,109,271,303,118
MRPS5,557,490,493,686,248,451,377,326,489,557,566,501
MRPS6,1540,275,408,1946,353,1032,898,507,728,277,858,919
MRPS7,1291,956,1314,1459,878,996,862,881,1380,974,1167,928
MRPS9,609,474,434,707,303,484,472,389,455,451,729,480
MRRFP1,398,368,533,512,367,431,380,274,509,450,518,313
MRS2,454,284,351,468,159,273,279,217,207,390,293,325
MRTO4,224,274,225,281,339,204,179,330,422,179,370,220
MS4A4A,153,157,229,369,378,238,255,177,773,112,388,231
MSANTD1,12,10,8,0,6,12,0,10,2,8,6,2
MSANTD2,469,292,633,549,400,327,353,461,656,505,666,523
MSANTD4,1075,872,1211,1247,489,941,906,895,884,1312,907,1114
MSC,0,111,14,6,34,8,0,8,16,66,16,6
MSGN1,0,0,0,0,0,4,0,16,0,0,0,0
MSH2,899,597,740,1148,736,702,804,755,1019,945,1030,910
MSH3,1176,396,564,688,277,973,774,326,298,771,823,394
MSH6,913,969,1209,1709,1148,1178,1091,1009,1925,1484,2060,1363
MSI1,782,441,615,836,515,490,587,669,768,510,756,920
MSI2,3265,1472,2307,3878,818,2331,2381,2262,2188,3080,2597,3054
MSL1,786,967,1195,1211,857,707,782,761,1735,1084,1581,1156
MSL2,1620,1217,1699,2279,859,1396,1395,1103,1829,1067,1703,1224
MSL3,1004,774,1032,1042,463,831,801,566,862,1014,973,848
MSMO1,9770,1634,2487,15742,2511,11136,10075,3430,4378,2484,5226,5684
MSMP,72,28,59,30,67,44,37,29,65,70,110,47
MSN,17760,20197,32086,25909,14612,16533,15569,23358,21826,30381,21566,19554
MSRA,1194,961,1226,1618,712,1014,948,860,1081,1089,1197,929
MSRB1,2886,330,353,434,497,417,319,348,885,369,798,378
MSRB3,2028,2543,4582,1243,883,1054,908,2604,1169,3859,1441,1629
MSS51,26,65,8,19,99,4,20,2,122,47,76,43
MST1,289,758,1739,308,220,102,84,668,272,1098,248,226
MST1R,108,151,383,152,204,68,87,161,413,162,230,59
MSTN,6,583,242,6,36,4,0,68,26,259,67,64
MSTO1,365,296,469,573,471,274,264,485,730,395,607,349
MSX1,74,62,62,266,160,130,89,288,565,79,115,100
MSX2,4,14,12,0,10,0,0,10,2,0,4,4
MT3,65,207,114,32,41,8,38,50,16,82,34,8
MT4,494,260,198,134,40,160,106,76,46,142,158,30
MTA1,3241,2209,3450,5082,2194,2999,3106,2590,3494,2772,3511,3243
MTA2,1125,833,1153,1666,1446,1118,1040,1180,2090,874,1782,1654
MTA3,428,541,617,532,208,365,410,337,409,398,468,356
MTAP,266,290,316,233,128,317,270,129,192,324,394,136
MTBP,207,96,187,413,172,249,244,130,207,98,182,122
MTCH1,3949,2930,4859,4123,2514,2636,2182,4134,4041,4131,3733,3128
MTCH2,860,499,602,749,722,682,637,642,1164,389,930,475
MTCL1,501,3991,3796,977,1282,771,637,1755,1158,5069,1377,1487
MTDH,8115,3649,6138,10035,4836,6386,6235,6049,6796,5258,7818,8045
MTERF2,268,98,180,114,28,72,70,68,44,82,32,46
MTERF3,446,437,438,649,256,412,314,286,361,163,380,182
MTERF4,125,99,130,91,74,63,63,120,86,80,107,148
MTF1,2191,2129,2401,2852,1982,2006,1809,1877,3085,2615,2650,2038
MTF2,1249,893,1532,1868,531,1162,1066,767,866,972,1009,1020
MTFMT,274,448,598,347,163,352,343,254,284,472,419,407
MTFR1,2579,2137,2583,3174,1521,1912,1998,1669,2314,2453,2462,2011
MTFR1L,781,705,703,866,668,596,482,564,960,551,847,573
MTFR2,282,123,168,636,209,437,419,151,449,107,425,233
MTG1,0,0,0,0,0,0,0,0,0,0,0,0
MTG2,117,131,173,168,88,125,96,96,114,108,136,106
MTHFD1,2160,740,768,1461,1136,945,905,892,1608,891,1321,1391
MTHFD1L,7169,3331,6036,10045,5084,6383,6226,6417,7192,6244,6533,6806
MTHFD2,386,537,690,880,709,786,826,947,975,1125,736,841
MTHFD2L,144,233,210,140,86,123,70,71,76,146,149,93
MTHFR,1172,943,1173,794,658,519,466,739,958,891,696,374
MTHFS,700,603,654,524,438,433,417,598,691,807,482,274
MTHFSD,137,213,324,227,134,160,153,147,195,333,256,128
MTIF2,985,677,774,1104,646,777,620,804,986,1142,1249,1099
MTIF3,489,340,391,345,263,306,280,212,360,251,422,220
MTM1,2206,1129,1600,1743,649,1436,1390,1012,904,1209,1133,1390
MTMR1,1749,1652,2261,2351,1046,1546,1196,1479,1438,1706,1415,1533
MTMR10,4545,5039,5869,5567,2223,3689,3066,4001,3531,4066,3710,3062
MTMR11,604,302,604,213,233,166,186,539,298,370,280,272
MTMR12,4750,1094,1634,1637,646,1656,1463,1151,761,1575,1621,1171
MTMR14,705,463,487,877,710,509,461,619,1081,526,761,709
MTMR2,2121,1994,2750,2753,1186,1862,1863,1544,1820,1614,1630,1357
MTMR3,10171,6083,7244,14276,11551,9912,10156,6788,17276,6497,17791,13907
MTMR4,3478,1648,1645,2453,2344,1776,1497,1780,3797,2143,3060,2074
MTMR6,1865,1747,2586,2498,1000,1530,1647,1477,1709,1594,1474,1513
MTMR7,847,303,231,747,204,591,584,230,387,219,499,652
MTMR8,2848,1576,1994,2491,1151,1575,1409,1294,1531,1410,1838,1321
MTMR9,2969,2042,2174,3144,2258,2156,2297,1761,3353,2049,3383,2126
MTMR9LP,263,481,691,643,697,439,392,746,1058,415,626,366
MTNR1A,12,2,0,2,4,6,4,4,2,0,16,4
MTNR1B,56,12,4,0,6,0,0,10,6,28,0,0
MTO1,3487,2316,4016,3644,2024,2427,2374,2259,3297,2945,3003,2799
MTOR,3482,2770,4343,5277,4233,3295,2900,3149,5415,4024,5386,3901
MTPAP,2148,1186,1487,2188,936,1781,1654,1086,1405,1270,1849,1660
MTPN,6214,6597,7870,7865,2353,5250,4617,4040,4778,7009,4439,4130
MTR,3711,1662,3057,3230,1081,2366,2143,1926,2279,1898,2071,1969
MTRF1,690,571,705,585,339,362,332,473,494,611,568,488
MTRF1L,294,568,644,358,146,303,218,283,247,505,291,246
MTRR,796,612,818,900,370,577,618,532,587,771,583,852
MTSS1,8175,2192,4219,8592,3659,5825,6283,4762,5963,2991,6199,4966
MTSS1L,3098,1819,3116,1764,1416,894,965,2108,2389,2323,2085,1416
MTTP,2264,38,4,14,14,4,4,0,20,25,12,10
MTTPL,1116,15,21,20,2,13,8,7,31,15,28,8
MTURN,2142,1884,1786,1186,651,681,608,771,842,1233,854,836
MTUS1,7736,2888,3510,1313,1206,1206,934,2131,2227,3040,3206,1921
MTX2,763,654,752,829,551,553,467,610,812,717,712,598
MTX3,1077,417,420,619,156,636,519,337,286,448,421,320
MUC2,22,28,40,50,14,34,6,24,27,61,29,4
MUL1,140,99,181,149,215,130,109,152,287,150,189,142
MUL1L,486,458,554,531,637,338,301,474,651,476,570,383
MUM1L1,430,479,681,652,417,434,380,491,732,690,809,467
MUSK,21,34,21,15,94,40,9,22,60,84,55,20
MUSTN1,74,907,427,20,1206,8,6,140,220,1476,352,484
MUTYH,102,54,100,134,236,100,79,72,232,87,133,122
MVB12A,783,814,1008,1125,729,661,623,918,1246,830,1291,952
MVB12B,2480,1521,3347,3211,3040,1969,1757,1703,3450,2737,3623,2061
MVD,580,205,218,730,391,537,601,328,920,220,642,562
MVK,382,275,345,552,360,383,394,463,557,412,579,482
MVP,1668,1566,2779,1862,1923,1155,1093,2815,2996,2930,2313,1777
MX1,183,131,49,608,58,257,275,54,230,94,192,144
MXD1,736,640,842,2104,1392,1046,1237,850,3288,875,2499,1589
MXD3,225,56,154,114,114,59,93,140,186,102,116,74
MXD4,2843,3228,4887,3528,1368,2495,2248,2354,2299,3541,2474,2111
MXI1,1217,1659,2295,2170,1025,1561,1611,1418,1858,1617,2180,2116
MXRA5,666,34052,89458,1147,3361,735,546,21847,3133,59919,3689,3413
MXRA8,2412,14562,25790,2942,3301,2361,1593,11677,4287,16096,8401,4376
MYADML2,45,158,18,68,76,88,56,22,62,156,53,94
MYB,80,124,171,1588,1446,1165,1086,290,2771,81,1966,1260
MYBBP1A,996,670,694,1193,1019,853,848,897,1585,727,1707,1190
MYBL1,1050,548,844,1434,329,1053,1141,669,565,788,1036,611
MYBL2,981,496,873,1783,1182,1325,1442,730,1710,754,1546,1006
MYBPC1,32,14862,2232,18,12889,14,4,401,4146,23779,4075,7611
MYBPC2,2,2919,86,20,1919,6,2,78,597,1365,330,372
MYBPC3,13,126,80,27,88,3,13,102,20,99,67,50
MYBPHL,4,34,11,0,402,0,2,0,41,187,37,56
MYC,318,428,676,688,270,590,700,388,865,524,742,501
MYCBP,336,277,275,216,131,228,187,155,251,406,296,227
MYCL,90,58,48,74,76,46,44,70,93,34,116,58
MYCN,105,172,167,104,30,106,133,94,50,167,80,52
MYCT1,585,2475,2834,1163,352,1021,706,1620,598,1914,644,550
MYD88,1033,1760,2354,2128,1052,1132,994,1457,1769,2108,1422,1337
MYDGF,1892,1186,1835,1874,1241,1269,1177,1710,2087,1634,2114,1555
MYEF2,2641,1619,2300,3030,720,1984,1832,1441,1383,2260,1910,2163
MYF5,0,39,6,0,32,0,0,0,20,28,2,28
MYF6,0,10,1,0,10,0,0,2,0,28,2,9
MYH10,5769,6328,8007,5684,5204,3427,3067,5527,6860,8350,8006,5717
MYH11,281,9250,11478,537,254,259,286,2392,559,6615,1293,701
MYH15,856,225,660,919,506,49,44,623,614,351,85,496
MYH1B,16,1960,83,0,14982,0,0,124,832,1485,628,1284
MYH1C,30,18566,1724,14,46408,4,2,853,12505,54920,13013,25024
MYH7,153,47,103,115,137,22,27,54,124,60,214,72
MYH7B,99,2763,4188,44,3418,11,13,326,1551,24026,878,5614
MYH9,16735,25009,36299,25734,27240,16949,15309,22860,41554,37099,38332,25417
MYL1,107,38693,988,36,21359,34,6,790,7265,15813,5535,6470
MYL10,10,1282,945,17,584,1,1,73,190,5169,161,1033
MYL12A,1498,2213,3128,1848,1173,1518,1292,1470,1908,2826,1874,1395
MYL12B,2217,1935,2349,2224,870,1622,1199,1317,1653,3339,2111,1723
MYL2,6,26,38,0,44,0,0,6,10,184,4,30
MYL3,116,905,720,95,1215,46,41,204,430,4207,323,773
MYL4,2,57,28,0,0,10,22,8,8,11,8,2
MYL6,2602,4166,4152,3396,3836,2602,2174,3559,5227,6054,6240,3846
MYL9,554,1723,2233,471,388,223,256,1003,664,1422,715,453
MYLIP,3060,2359,2611,4910,2728,2944,2854,3030,4278,2442,4660,4679
MYLK,5195,7690,15540,1935,3802,1769,857,4885,5887,11181,5387,2639
MYLK2,2,2014,119,12,937,4,6,108,522,2020,456,443
MYLK3,986,493,706,1054,260,628,737,332,414,435,521,441
MYLK4,70,1028,96,95,479,111,70,89,367,761,260,420
MYLPF,12,11379,348,6,9380,10,0,282,2343,5912,2134,2310
MYNN,477,519,691,678,402,564,359,496,669,590,777,461
MYO10,12829,3022,4089,20746,6660,14004,12147,6480,12490,3508,11789,8670
MYO10L,1659,1688,1614,2686,1520,1872,1431,2542,2359,1921,1989,1427
MYO15A,10,9,2,27,14,4,2,13,6,19,10,8
MYO16,244,392,1067,203,277,364,149,540,688,787,1292,548
MYO18B,33,1670,151,96,2324,52,49,113,638,2638,519,713
MYO19,2096,875,1175,1259,645,871,787,778,1104,819,877,556
MYO1A,72,171,107,78,120,30,44,117,122,89,140,52
MYO1B,4347,6433,8402,6265,3358,4698,3093,5955,5804,7771,7573,4798
MYO1C,6437,10438,18610,8564,4607,5777,5667,9843,7844,12457,6991,7330
MYO1D,7546,5899,12482,7800,5418,5215,5074,10266,10421,9787,9914,8492
MYO1E,3467,2098,3875,4303,1599,3149,3063,2591,2807,3248,3919,3912
MYO1F,266,684,641,1900,2062,1034,995,484,4141,412,2789,1271
MYO1G,71,228,283,686,680,424,340,198,1468,178,813,426
MYO1H,15,4,15,37,40,31,54,10,42,10,40,29
MYO3A,6,7,4,10,2,12,3,2,6,0,8,0
MYO3AL,269,243,292,768,561,548,485,277,836,312,882,333
MYO3B,77,163,60,135,81,61,86,51,84,88,166,153
MYO5A,8051,6516,9900,8004,3457,4990,4801,6429,4475,7412,5817,5334
MYO5C,3825,786,1820,3463,1528,1432,1376,1827,2771,939,4113,5518
MYO6,11226,1967,3437,11124,2235,6915,6280,2855,3229,1930,4605,6231
MYO7A,4159,586,726,181,120,78,46,357,294,528,157,123
MYO7B,1570,74,98,37,21,16,3,30,47,44,20,17
MYO9A,5954,3863,6040,6563,4137,4212,4262,5051,6893,5608,7676,4832
MYO9B,6048,4245,6291,10625,6088,7625,7517,5163,9406,5290,9498,7521
MYOC,97696,3082,13504,128580,34328,55483,51183,25630,40578,4710,18578,42459
MYOCD,17,520,338,29,242,30,16,136,161,303,122,156
MYOD1,4,390,66,0,161,5,0,12,46,284,66,75
MYOF,938,10484,19082,1778,1930,1457,943,7479,3071,13757,3372,2865
MYOG,0,7,0,0,18,0,0,0,0,12,6,28
MYOM1,131,3623,549,57,4549,34,28,157,1063,3989,936,1414
MYOM2,164,7287,413,268,8580,203,248,193,1557,7284,1628,2083
MYOM3,435,521,618,300,850,336,361,185,358,1908,362,741
MYOZ1,26,5067,179,12,4886,13,16,94,1391,5717,1315,2078
MYOZ2,2,156,108,2,191,4,10,10,63,521,21,198
MYPN,141,4686,632,279,3808,150,171,127,1094,3054,775,1339
MYRF,37,17,16,39,8,31,45,8,6,38,39,3
MYSM1,1787,1572,1943,2375,705,1471,1324,1273,1373,1856,1808,1427
MYT1,5,20,6,0,0,0,4,6,0,0,0,0
MYT1L,2,101,0,0,0,6,18,4,2,2,0,0
MYZAP,941,1189,1378,1006,533,720,601,659,819,1131,980,828
MZB1,15,12,30,69,18,16,31,24,34,2,4,24
MZT1,452,398,286,475,106,443,351,178,242,273,336,143
N4BP1,1052,830,1031,1458,591,968,889,675,954,827,824,753
N4BP2,4491,4753,6669,6975,3134,4900,4633,4143,5024,6104,5162,4682
N4BP3,227,180,317,243,287,193,138,316,430,292,338,286
N6AMT1,301,185,426,208,160,249,251,232,176,263,293,162
NAA15,3386,2550,2368,5248,1960,2925,2946,2054,3010,2437,3045,3084
NAA16,2213,2053,2116,2847,675,1710,1871,1138,1021,1877,1548,1686
NAA20,1243,869,1086,1207,338,911,752,813,735,897,745,847
NAA25,1758,1426,1668,2482,983,1777,1591,1084,1554,1583,1543,1309
NAA30,1412,1131,1457,1730,719,1064,964,985,1248,1335,1112,1134
NAA35,1613,633,691,950,405,1057,945,446,657,1377,1376,701
NAA40,680,478,772,996,902,620,564,855,1332,793,1405,766
NAA50,4589,4823,5301,5103,3729,3010,3079,3829,4577,6166,4821,4373
NAA60,858,749,712,962,940,622,635,834,1542,843,1112,855
NAAA,143,191,232,496,148,345,218,168,257,101,223,173
NAALAD2,210,535,662,210,199,146,105,366,265,341,208,95
NAALADL2,2277,1039,2474,748,464,761,695,791,566,1417,899,754
NAB1,2799,2394,3639,3860,1709,2207,2003,2793,2893,2671,2807,3148
NAB2,120,172,218,137,95,46,95,290,205,255,160,153
NABP1,2110,1712,2214,2706,1022,1830,1302,2057,2509,2122,2088,1586
NABP2,112,96,129,118,98,74,111,62,128,156,196,200
NACA,2917,3487,3720,3867,3026,3003,2713,3110,4616,2713,5062,2907
NACAD,123,1411,443,147,119,106,162,412,264,457,174,162
NACC2,791,1056,1275,1196,993,724,859,760,2351,813,1582,1080
NADK,4093,2686,3098,4823,1373,2754,2523,2088,3103,2674,3268,2902
NADK2,2566,1244,2122,2482,723,2026,2037,1163,1129,1913,1756,1152
NADSYN1,766,422,543,636,465,558,563,478,558,484,582,487
NAE1,589,411,555,531,230,404,292,348,417,435,422,388
NAF1,636,857,1106,726,266,601,565,410,458,987,616,503
NAGA,1321,533,997,1253,1233,737,776,1121,1787,722,1535,697
NAGLU,728,582,933,867,615,456,505,1043,1127,546,815,467
NAGPA,819,401,539,956,866,581,638,561,969,422,922,517
NAIF1,877,692,1060,978,603,697,825,839,1134,651,959,648
NALCN,111,1798,2852,202,152,160,58,958,312,1856,639,293
NAMPTP1,3222,1986,2727,3500,838,1848,1681,1715,1213,2114,1358,1694
NANOG,0,0,0,2,0,0,0,0,0,0,0,0
NANOS1,423,463,840,191,128,151,162,655,285,763,208,308
NANP,1353,957,1575,2034,442,1020,978,1057,1088,1056,972,1108
NANS,1667,683,880,1859,1047,1429,1349,1321,1650,1454,2010,1168
NAP1L1,3846,4043,4772,4865,1959,3747,3194,2623,2539,3257,3598,3381
NAP1L4,2106,3279,3545,2529,744,1836,1720,1188,1242,2124,1852,1704
NAPA,1294,1107,1286,1548,1119,1022,1157,1210,1925,835,1359,980
NAPB,493,947,453,387,300,367,324,282,500,428,482,323
NAPEPLD,943,1285,1878,1000,744,675,634,1220,830,1423,843,734
NAPG,2498,2584,2714,2860,1041,2231,1661,1616,1550,2616,2425,1912
NAPRT,1393,792,1280,1416,1255,791,577,1337,2191,750,1589,1012
NARF,2806,1818,2531,8012,2310,4614,4128,2025,4903,2231,4629,3760
NARFL,411,448,444,633,418,391,419,435,619,459,578,443
NARS,2637,2333,2604,3650,2035,2188,2130,2131,2900,2863,3366,2229
NARS2,612,439,479,566,409,351,406,434,651,537,668,597
NASP,475,445,504,779,538,416,476,498,827,808,1017,781
NAT,28,7,8,9,0,14,4,0,3,4,10,2
NAT10,854,589,616,1162,596,914,795,509,1112,613,1007,721
NAT8B,2,4,4,5,0,2,3,0,4,5,0,13
NAT8L,259,307,211,22,38,20,29,148,21,274,64,57
NAT9,0,0,0,0,0,0,0,0,0,0,0,0
NATD1,108,115,159,186,270,107,109,308,602,198,250,272
NAV1,4336,2884,4146,6679,2983,3354,3791,4680,5358,3307,3932,2626
NAV2,4582,1677,2281,3227,2055,2107,2215,1795,2338,1954,3974,1771
NAV3,615,1874,1771,1937,1524,1541,1068,1275,2620,1469,1918,1151
NAXD,1192,946,1135,1044,697,758,705,644,885,1031,962,825
NBAS,6132,4915,7303,8757,4363,5705,5164,5787,5630,6585,6602,6702
NBEA,1128,1993,2342,1391,590,831,707,1144,875,1579,953,922
NBEAL1,10127,6305,9130,10870,5001,8379,7589,6271,7373,7213,8220,7985
NBEAL2,2297,1112,1405,3205,3911,1732,2099,1275,8058,727,3758,1991
NBL1,341,4398,9383,294,648,239,158,3011,805,6505,877,464
NBN,758,559,685,974,371,621,452,499,626,662,778,519
NBR1,6207,3721,5767,5888,2760,3918,3752,4158,4339,4017,4778,4250
NCALD,1989,1339,1779,1622,1238,1330,1447,1391,1705,938,1155,1149
NCAM1,1816,4684,5106,4646,6551,3318,2483,5073,9998,5770,7438,6566
NCAM2,309,466,46,193,4,212,341,34,2,33,2,7
NCAN,8,28,6,6,2,2,4,24,30,2,26,7
NCAPD2,1338,543,858,2580,1869,1656,1371,954,2942,801,2224,1235
NCAPD3,659,344,527,1653,828,873,876,480,1494,435,1128,474
NCAPG,557,311,489,1552,484,967,888,344,1095,365,1058,615
NCAPG2,563,212,269,1226,392,774,613,289,647,425,574,412
NCAPH,506,183,343,1359,695,830,987,315,1153,327,973,378
NCAPH2,346,148,280,569,492,291,396,500,846,267,696,342
NCBP1,2454,1356,1773,2685,1479,2079,2139,1444,2032,1814,2374,1795
NCBP2,1528,739,870,1304,494,909,691,633,620,931,1023,872
NCBP3,1087,631,875,940,328,652,584,441,650,877,887,719
NCDN,385,370,410,561,614,329,380,528,917,464,754,522
NCEH1,1986,1416,1646,2580,993,2019,2193,1676,2282,1071,2210,1041
NCF1C,88,126,82,409,514,176,201,87,1109,66,613,193
NCF2,52,67,80,243,245,101,63,61,479,39,322,167
NCF4,36,150,111,298,147,153,182,80,176,63,204,122
NCK1,2461,2201,2833,3632,1703,2219,2142,2062,2662,2253,2822,2420
NCKAP1,6663,6141,8531,6820,2777,4584,4352,4336,3911,5454,4510,3724
NCKAP1L,238,360,404,1448,1771,790,830,663,3340,238,1614,768
NCKAP5,4383,822,1198,5081,1262,3307,3884,1060,1692,891,2761,2814
NCKAP5L,254,114,205,373,322,153,216,362,507,492,432,477
NCKIPSD,773,990,1380,1367,1398,938,855,1377,2099,933,1814,1042
NCL,4318,4431,6394,5995,4456,4776,4492,3813,6343,6869,9457,7110
NCLN,3649,1765,2773,4415,3437,2707,2818,2753,5131,2146,4724,3055
NCOA1,2439,1874,2689,2605,2046,1497,1883,2019,3487,2354,3184,2915
NCOA2,12407,4514,7106,14279,6492,9326,9327,5681,8658,5486,9622,8848
NCOA3,11428,3559,5190,16149,3255,9106,9217,4360,4453,3516,5575,6637
NCOA4,10614,4466,4396,22256,9612,10663,10469,6845,18625,5400,16694,17366
NCOA5,1132,868,1255,1319,977,1073,861,981,1553,1017,1527,1037
NCOA6,5437,4007,5387,6970,3777,4347,4472,3859,6741,4191,6269,4277
NCOA7,2897,2958,2540,3049,1037,1666,1644,1553,1698,1607,1692,1429
NCOR1,6936,4578,6502,8192,5241,5544,5298,4959,8345,5966,8185,6084
