gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
ELMOD2,3594,1613,2405,3084,923,2431,2339,1839,2204,2367,2233,2151
ELMSAN1,2480,3403,5629,3336,1849,2521,2278,3483,3099,3714,2996,3029
ELN,118,4867,13724,75,319,138,66,7807,420,16317,878,1137
ELOB,164,178,153,165,124,157,138,142,204,222,358,382
ELOF1,129,136,134,176,148,93,168,180,326,140,280,178
ELOVL1,3017,1468,2925,3195,2289,2054,1794,2140,3906,1890,2923,1818
ELOVL2,26,186,12,60,12,17,42,8,26,2,2,18
ELOVL3,0,0,8,4,0,0,0,0,2,0,0,0
ELOVL4,44,110,45,20,22,10,12,2,58,34,22,14
ELOVL5,8406,4222,5502,6189,2252,4921,4255,3116,3949,4500,4108,3640
ELOVL6,5604,1206,1521,4172,1256,2320,2545,1985,2096,1264,2036,1645
ELOVL7,1093,231,215,152,37,71,68,72,76,301,72,50
ELP2,546,382,509,710,275,551,355,338,402,430,381,478
ELP3,563,506,654,695,731,575,425,647,995,724,1074,807
ELP4,474,225,318,514,233,378,451,221,273,281,306,286
ELP6,162,190,290,158,112,118,111,145,141,414,216,132
EMB,2822,426,669,3883,1519,3252,3204,630,3892,272,3891,1965
EMC1,3202,1803,2535,4067,2871,2231,2325,2833,4800,2502,4174,2486
EMC2,1068,828,799,1039,269,796,741,614,497,884,1064,859
EMC3,1029,866,1015,1141,701,627,583,935,1052,730,989,762
EMC6,251,270,246,310,148,185,168,251,233,226,253,189
EMC7,448,563,620,515,296,392,348,412,438,704,522,498
EMC8,412,410,456,520,327,412,345,370,481,292,478,228
EMCN,1315,2974,3629,1614,826,946,707,2373,1125,3115,1011,612
EME1,195,86,143,283,224,185,212,202,300,172,362,223
EME2,240,181,309,279,203,193,177,294,387,401,389,244
EMG1,159,133,104,242,173,120,111,115,276,140,167,82
EMID1,28,126,178,34,46,44,38,108,58,134,26,46
EMILIN2,421,5866,11008,758,470,491,328,4663,769,8812,742,593
EMILIN3,4,163,619,18,24,14,4,290,58,556,72,38
EML1,955,3237,6095,1834,792,1142,909,2585,1376,3528,1097,1430
EML3,661,417,833,811,618,506,461,777,1109,739,753,593
EML4,5225,4307,4729,7888,3194,5827,4423,5399,5691,4541,5895,4477
EML5,185,347,105,199,48,131,150,39,103,24,98,134
EML6,1843,528,410,240,145,161,131,267,180,241,201,204
EMP1,944,4588,9865,1409,880,954,741,3896,1827,8906,1048,1165
EMP2,1390,4469,6552,1621,403,1178,1015,2291,902,5001,1084,1076
EMX1,655,2,0,2,0,0,2,0,0,0,2,0
EMX2,460,228,305,0,4,0,2,52,8,254,0,6
EN1,0,0,4,0,0,0,0,0,2,12,6,4
EN2,4,0,0,0,0,0,0,0,0,0,5,0
