"","E-2-29-33","E-3-29-33","E-4-34-38","E-4-39-49","E-6-29-33","E-6-34-38","E-6-39-49","E-7-34-38","E-7-39-49"
"gene-ADAM23",454.161595556045,404.426035263232,367.628069557438,519.884407189236,395.968524327814,414.710163889649,321.880148570606,300.164211784055,675.264090682193
"gene-ZDBF2",731.311433378665,817.366302847796,690.128142552437,732.064872562403,847.403456732675,803.851731208657,601.972348028537,673.341339948014,633.483536576439
"gene-GPR1",673.656175145493,709.519360110934,669.215168535696,743.899639555329,701.033768751577,722.78057135053,1101.16892932049,730.129163799052,975.632398577617
"gene-EEF1B2",16728.1168536879,16077.7087001138,22110.5169499097,19571.3232443011,18156.7746106658,17947.2839196695,26662.9703419469,22817.1158363107,21903.1731889005
"gene-NDUFS1",3963.04038171177,3881.07089980681,3753.32849458343,4199.65160148963,3687.74577034483,3797.24840289334,3698.79819848679,3904.45262355398,3797.51360696357
"gene-INO80D",653.426259975958,614.443765856069,561.348249923035,707.549998077057,702.574502309273,714.049831058117,370.444521863715,519.20296092377,522.82152840444
"gene-NRP2",7333.34424895619,7791.94161273828,3984.47189161056,7364.60643159776,6908.64927270785,6906.0155712992,4969.37773231813,7079.93501848953,9872.63201477327
"gene-PARD3B",1701.33586575784,1936.98785310285,955.392707712145,1648.41397401465,1569.23712851314,1681.91475490283,1461.44881491356,1787.07804853673,1971.5904721256
"gene-CTLA4",20.2299151695343,24.1236582437718,11.0068284298634,3.38136199797877,23.1110033654366,21.8268507310341,24.8468886615906,11.5893518063342,15.8088583102855
"gene-RAPH1",1478.80679889296,1897.25476893664,1484.82115518858,1922.30429585093,1784.16945981171,1775.45840089298,1105.68654544078,1520.52295699104,1452.15655621622
"gene-ABI2",3740.51131484689,4381.99156804513,3088.51605741968,4888.6041085778,3814.85628885473,4076.63209225058,2631.51139006846,3953.12790114058,3328.89387848011
"gene-CYP20A1",958.897979035926,1062.86000144618,987.312510158749,973.832255417885,805.033283896041,858.730670189543,1024.36945527558,971.187681370802,1227.44492737716
"gene-LOC424109",518.897324098555,559.101255767416,485.401133756977,466.62795572107,570.841783126284,528.209787691026,709.265730885405,540.063794175171,670.747274022111
"gene-NBEAL1",844.598958328057,766.280908919809,570.153712666926,649.221503611923,729.537339568949,652.934649011221,423.526511277113,521.520831285037,508.141874259175
"gene-LOC424111",637.242327840331,516.53009416076,758.37047881759,728.683510564425,593.182419712873,597.432085723734,582.772479517307,610.75884019381,432.485195202809
"gene-IDH1",2905.01581834513,2313.03311396164,2167.24451784011,2007.68368629989,2339.60390736103,2156.49285222617,2817.86305503039,2536.90911040655,2098.06133860788
"gene-PIKFYVE",1365.51927394357,1237.40176403347,774.880721462385,868.164692981049,1118.57256288713,1133.12536509397,910.299648238275,1062.74356064084,1041.1262401488
"gene-DNAJC10",2716.87760726846,2950.18149934126,2344.45445556091,2762.57275234865,2973.61576635284,2916.69088197276,2378.52488733227,2737.40489665613,2906.57152076248
"gene-PDE1A",374.253430636385,78.0471296122027,35.221850975563,31.2775984813036,117.095750384879,56.7498119006887,112.94040300723,66.0593052961047,16.9380624753058
"gene-PPP1R1C",89.011626745951,59.5996262493185,33.0204852895903,21.978852986862,58.5478751924394,54.8789389808858,97.1287465862179,66.0593052961047,51.9433915909379
"gene-SSFA2",442.023646454325,566.196449368525,478.797036699059,435.350357239766,464.531167645276,515.113677252406,463.055652329644,426.488146473097,552.180836694971
"gene-NEUROD1",1457.56538796495,1705.68454170669,1292.20165766597,167.377418899949,1633.94793793637,1426.85241350303,1738.15280228127,868.042450294428,155.830174772814
"gene-CERKL",196.230177144483,276.712550443264,256.459102415818,45.6483869727134,373.627887741225,342.369744323935,394.162006495233,257.283610100618,72.2690665613049
"gene-ITGA4",3106.30347428199,2740.16376874843,1472.71364391573,1125.99354532693,2552.22513832305,2068.56182499543,2669.91112709092,1948.17003864477,1697.19386002565
"gene-UBE2E3",2549.9808071198,2532.98411559603,2161.74110362518,2195.34927718771,2184.76018481261,2222.59702872588,2683.46397545179,2431.4460089689,2480.8615505498
"gene-CWC22",1910.71548776252,2019.29209887572,1625.70855909083,1618.82705653234,2048.40526495653,2066.69095207563,2014.85678964899,2262.24147259643,2127.42064689841
"gene-ZNF385B",58.6667539916495,76.6280908919809,60.5375563642489,54.947132467155,56.2367748558957,68.5986737261073,98.2581506162902,44.0395368640698,83.5611082115088
"gene-SESTD1",3188.23463071861,3182.90384945765,2968.54162753417,3022.09228569352,3169.28892818021,3187.96745534419,3678.46892594549,3211.40938553519,3451.97713246733
"gene-CCDC141",815.265581332233,973.460562072201,1015.93026407639,887.607524469427,1042.30625178119,1139.36160815998,972.416869892251,555.129951523406,641.387965731581
"gene-TTN",1689.19791665611,1078.46942736862,952.090659183186,385.47526776958,825.833186924934,899.889874425207,551.149166675283,316.389304312922,484.428586793747
"gene-LOC124418098",28.321881237348,28.3807744044374,13.2081941158361,5.91738349646284,8.47403456732675,19.9559778112312,6.77642418043381,6.95361108380049,4.51681666008156
