"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"424151","DYNC1I2",1.20771451949229,0.37608837207438,1,"NoChange"
"112532238","LOC112532238",1.20708834197202,0.376447994389097,1,"NoChange"
"426737","MAPT",1.20679570209755,0.376558458890933,1,"NoChange"
"420614","NUP42",1.20666764379429,0.376558458890933,1,"NoChange"
"418432","NSUN3",-1.20627014456927,0.376772484184847,1,"NoChange"
"420149","AP1M1",1.2060823086658,0.376852836520958,1,"NoChange"
"416909","TFIP11",1.204822249746,0.377538596416639,1,"NoChange"
"426442","SBK1",-1.20463679308721,0.377609369210005,1,"NoChange"
"419217","CCNDBP1",-1.20458769389557,0.377609369210005,1,"NoChange"
"422931","RPIA",1.20451993840412,0.377613132098089,1,"NoChange"
"107053684","CBX6",-1.20416910044146,0.377797714018922,1,"NoChange"
"100857289","TSR1",-1.20383256031455,0.377965314332434,1,"NoChange"
"101750600","SMG6",-1.20383256031455,0.377965314332434,1,"NoChange"
"422667","BBS12",1.20378294533676,0.377965314332434,1,"NoChange"
"423273","VTI1B",-1.20372119543778,0.377965314332434,1,"NoChange"
"771220","PCP4",-1.20358203038676,0.377980426611143,1,"NoChange"
"101749129","LOC101749129",1.20353772035873,0.377980426611143,1,"NoChange"
"427684","MEST",1.20345328653645,0.377980426611143,1,"NoChange"
"421670","ADAT2",-1.20345014147615,0.377980426611143,1,"NoChange"
"112530378","LOC112530378",-1.20331602243044,0.378026609125633,1,"NoChange"
"422815","PPARGC1A",1.20306176276398,0.378132807701196,1,"NoChange"
"417971","LUC7L2",1.20255072034192,0.3783971832698,1,"NoChange"
"100315925","MIR1729",-1.20247043905799,0.378408973156134,1,"NoChange"
