"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"374007","CDH7",-4.63298032510981,2.92364177758907e-05,1,"Down"
"421376","NEK2",4.63236649764832,2.92863475358276e-05,1,"Up"
"427187","C7",-4.63224596613162,2.92863475358276e-05,1,"Down"
"771782","RAB7B",-4.63220090435007,2.92863475358276e-05,1,"Down"
"373854","TENM2",4.63104158580985,2.9430643460636e-05,1,"Up"
"430534","FOXM1",4.63089122683442,2.94318535437631e-05,1,"Up"
"396438","TGFB3",-4.62888579091619,2.96979392456677e-05,1,"Down"
"417868","E2F7",4.62820784776982,2.97749230574854e-05,1,"Up"
"420425","CSRNP1",-4.62720636831236,2.98987625205852e-05,1,"Down"
"374087","ADARB1",-4.62127931858395,3.07449257956946e-05,1,"Down"
"416191","PCDH12",-4.62067179852062,3.08140517062721e-05,1,"Down"
"420753","PPP1R17",4.62038892644657,3.0835048119582e-05,1,"Up"
"429166","SYT11",-4.61957761592304,3.09136845271881e-05,1,"Down"
"423632","CSGALNACT2",-4.61843289128344,3.10635213867536e-05,1,"Down"
"428683","FADS6",4.61602793597907,3.14041036810104e-05,1,"Up"
"417578","FAM222B",4.6158812720504,3.14049287661065e-05,1,"Up"
"427379","NCBP1",4.61419187953804,3.16399214959846e-05,1,"Up"
"415653","RANBP10",4.61302341256498,3.17864469407932e-05,1,"Up"
"416807","GLT1D1",4.61287566262919,3.17864469407932e-05,1,"Up"
"769654","SNTB2",-4.61280903816166,3.17864469407932e-05,1,"Down"
"417786","CNTN1",-4.61073568592547,3.20834044703635e-05,1,"Down"
"419719","KIRREL3",-4.60868304235761,3.23797924082943e-05,1,"Down"
"423245","MIDEAS",-4.60798696594988,3.24529316651099e-05,1,"Down"
"424615","MOB3C",-4.60793240831125,3.24529316651099e-05,1,"Down"
"100857342","NANOS1",-4.60615785428378,3.27088495903768e-05,1,"Down"
"419198","HNF4A",4.60316366001743,NA,1,"Up"
"395195","NBEA",-4.60289534193495,3.3203196442553e-05,1,"Down"
"427152","DEPDC1B",4.60176718436361,3.33610621871521e-05,1,"Up"
"769937","GSG1",-4.59809996365744,3.39306644791946e-05,1,"Down"
