ENTREZ_ID,GENE_SYM
100857445,FBXO31
100857446,ACVRL1
100857447,GTPBP3
100857454,GPX2
100857462,RAPGEF5
100857465,MPV17
100857468,NA
100857480,FEV
100857481,METTL13
100857489,CDC6
100857499,KCNU1
100857506,NEK11
100857507,CDK5R2
100857510,FNDC9
100857512,NA
100857521,SLC6A14
100857525,GGA1
100857533,ELMO3
100857535,TPGS1
100857537,SAMD14
100857541,NA
100857543,IQCM
100857561,GPR63
100857562,TRIM2
100857563,PMLL
100857564,TMEM208
100857565,STX1A
100857572,HTRA1
100857573,DUSP13A
100857575,MED7
100857579,NA
100857580,ABHD8
100857587,DAPK2
100857589,RBFOX3
100857593,CFD
100857594,C19orf60
100857596,NDUFS2
100857597,NA
100857604,ZAR1
100857605,RNF24
100857609,NA
100857613,MAF1
100857623,POU4F1
100857630,DIS3L
100857632,NA
100857635,TBXA2R
100857637,NA
100857655,C7orf72
100857659,NA
100857674,CXorf21
100857678,UBE2B
100857679,CORO6
100857683,FNTB
100857686,NA
100857687,P2RY4
100857693,PAOX
100857694,NA
100857695,BLCAP
100857696,MPV17L2
100857698,NA
100857703,C2orf88
100857704,GMNC
100857705,TCTN2
100857707,MED18
100857710,NA
100857713,ETV3L
100857714,NA
100857722,SAAL1
100857724,DM5L
100857728,SHE
100857732,MAPRE3
100857733,CORIN
100857736,EIF2B1
100857742,MCM9
100857743,LRRC71
100857744,NA
100857745,TMEM271
100857753,ABHD12B
100857754,CTDSP1
100857756,SC5D
100857767,FOXO6
100857770,RPS26
100857774,CEP85L
100857779,PEAR1
100857781,PPP1R1A
100857793,EP400
100857794,ADAM32
100857796,HEXIM1
100857803,SHISA8
100857811,INSRR
100857812,HAP1
100857817,NA
100857820,NA
100857831,YJEFN3
100857834,NA
100857837,SELENOI2
100857838,TG
100857840,ADAM20
100857843,NA
100857844,CYB561D2
100857845,TMEM136
100857847,CISD3
100857850,NA
100857856,LRIG2
100857858,TUBA1C
100857859,NA
100857860,NA
100857862,CSNK1G2
100857869,SH2D1A
100857874,RNF43
100857875,NECTIN1
100857877,PIK3C3
100857883,NA
100857884,NA
100857885,KIAA1549
100857889,PLCXD3
100857890,BCL7B
100857892,NA
100857896,CABP4
100857897,PDIA2
100857898,FLAD1
100857899,TTC25
100857902,GPR19
100857910,ARTN
100857912,RFX5
100857919,OLIG3
100857925,XNDC1N
100857935,ARL5A
100857940,NA
100857945,ATPIF1
100857947,IFNA3
100857953,FAM162B
100857954,MPEG1
100857958,PBXIP1
100857964,NA
100857973,GM2A
100857974,ONECUT2
100857976,S1PR2
100857984,TMEM35B
100857997,FANCM
100857999,PYGO2
100858002,TBX21
100858003,TTC31
100858007,RP11-400G3.5
100858009,TNIP1
100858010,A2ML4
100858014,EMILIN1
100858021,PIGF
100858023,NPS
100858027,LLGL1
100858035,ENDOU
100858043,B3GNT4
100858050,CRACDL
100858057,HSDL2
100858058,SNPH
100858060,CLCF1
100858066,LRG1
100858067,KCNA6
100858069,NA
100858071,CHRAC1
100858072,RNF150
100858073,UBE2L6
100858074,STOX1
100858077,RGSL1
100858086,BCLAF1
100858087,MESP2
100858089,R3HDML
100858091,C19orf70
100858092,SLC6A18
100858097,NA
100858100,NA
100858101,TMEM74
100858102,AGO2
100858105,BTBD19
100858107,KCNN3
100858108,PAF1
100858112,DNAH8
100858113,ZNF710
100858121,CXorf23
100858122,KCNH2
100858127,LHFPL3
100858130,CBARP
100858131,NA
100858145,NME7
100858156,PPP1CA
100858159,AOC1
100858171,XKR4
100858172,NA
100858173,ALPK1
100858177,NA
100858183,NA
100858193,MAP3K6
100858203,PBDC1
100858205,EXT1
100858213,ARL14EPL
100858214,SARS2
100858216,ATP5G2
100858219,MRPL55
100858221,MARVELD1
100858223,THEM4
100858225,MIEN1
100858226,NA
100858230,SLC6A13
100858231,UPF3B
100858235,DENND2C
100858236,MADCAM1
100858256,NA
100858258,S100A1
100858260,NA
100858263,GPR18
100858275,TESK2
100858277,ADAMTS18
100858293,RDH8L1
100858296,RPL22L1
100858301,KSR2
100858302,KRT75L4
100858304,NAPA
100858314,RUNDC3A
100858315,ARHGAP33L1
100858326,FAM163B
100858328,RAB2B
100858332,GPR12L
100858336,DNAAF8
100858338,FGF22
100858343,CATH3
100858349,EIF4B
100858352,ECH1
100858353,NA
100858359,BBIP1
100858361,HSD11B2
100858365,HAPLN4
100858366,NOL6
100858381,NA
100858385,NA
100858386,NA
100858394,LRRC55
100858397,CNOT1
100858401,NR2C2AP
100858404,HOXA5
100858407,EIF4EBP3
100858408,DECR2
100858410,PLPPR3
100858412,CATHB1
100858414,SPOCK2
100858419,NFKBIB
100858422,FLT3
100858424,IL34
100858426,NA
100858427,NA
100858428,TMEM221
100858430,SPRYD3
100858439,KRT17
100858440,ARID3A
100858444,NA
100858447,OTOS
100858457,NA
100858458,MYRFL
100858459,H2AC32
100858460,ADAP1L
100858462,SYTL3
100858463,DTHD1
100858468,PDYN
100858469,NA
100858471,PLPP2
100858473,LMAN2L
100858477,ZNF624
100858483,TRAPPC5
100858486,UEVLD
100858488,CARTPT
100858502,FAM131A
100858504,NA
100858505,NA
100858506,IFNA3
100858513,PTPN23
100858515,CLRN2
100858527,AXDND1
100858532,MRPL49
100858542,AES
100858546,ZNF541
100858555,MFAP2
100858556,DMRT2
100858560,EXOSC8
100858563,ADGRD2
100858564,UBE2Q1
100858576,CLK1
100858578,ROBO3
100858579,NA
