#NAME,C14S1_experimental_1,C16F_controlF_3,C17F_controlF_4,C18S2_experimental_2,C1P_controlP_1,C20S1_experimental_3,C20S3_experimental_4,C2F_controlF_1,C2P_controlP_2,C3F_controlF_2,C4P_controlP_3,C9P_controlP_4
#CLASS:Group,Exp,ConF,ConF,Exp,ConP,Exp,Exp,ConF,ConP,ConF,ConP,ConP
,0,0,0,0,0,0,0,0,0,0,2,0
,0,0,0,0,0,0,0,0,0,0,0,0
THRSP,0,254,148,7,6,8,2,9,29,26,10,15
,0,0,1,0,3,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,3,0,0,0,0,0,0,1,0
,0,3,0,5,1,1,1,0,2,3,0,0
DMD,2464,3874,3939,1386,1764,1107,1060,1491,1212,3154,1466,1394
,0,18,4,2,23,4,3,2,15,3,20,13
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
KCTD14,29,3,7,5,1,2,4,1,5,4,1,1
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,2,1,1,5,0,2,1,0,2,0,4,4
INTS4,604,462,730,747,506,520,522,513,780,507,654,608
,0,0,0,0,0,0,0,0,0,0,0,0
,0,70,75,1,1,0,0,9,0,40,0,2
,1,43,35,4,0,0,0,8,0,36,14,16
,0,0,0,0,0,0,0,0,0,0,0,0
,10,12,2,4,2,6,8,17,14,24,3,1
,0,2,0,0,0,0,0,0,0,0,0,0
,0,1,2,0,0,0,1,1,0,1,0,0
,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
MID1,250,260,250,189,180,73,87,210,232,202,147,91
,0,0,0,0,0,0,0,0,0,0,0,0
,0,8,0,0,0,0,0,0,0,0,0,3
,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
CLCN4,51,282,474,112,112,89,97,154,148,363,115,116
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,0,1,0,0,1
,4,2,10,7,6,5,11,4,5,7,7,12
WWC3,1706,1417,2490,2099,958,1358,1411,1388,1396,1360,1624,1157
,209,141,245,317,78,201,201,160,152,112,149,134
AAMDC,120,128,228,106,110,80,74,103,148,105,96,66
,0,0,0,0,0,0,1,0,0,0,0,0
,2,0,0,2,0,7,6,4,0,1,0,2
,29,0,0,3,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
RSF1,1020,957,1406,1091,496,763,772,687,736,1124,1200,952
,0,0,0,0,0,0,0,0,0,0,0,0
,7,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,1,0,0,0
CLNS1A,342,383,376,454,212,290,289,312,348,326,392,378
,0,12,46,0,0,4,0,5,0,9,2,17
,0,0,0,0,4,0,0,0,1,0,1,12
,0,0,0,0,0,0,0,2,2,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,2,1,2,0,0,0,1,1,5,1,0,0
ARX,0,16,1,0,5,0,0,1,6,39,3,18
,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
POLA1,646,520,754,1204,504,742,780,452,874,753,954,673
,0,1,0,0,1,0,0,0,0,0,0,0
AQP11,323,8,18,16,7,15,5,8,17,7,8,7
,0,1,0,0,0,0,3,1,0,0,0,0
,19,23,26,33,5,23,25,18,4,10,1,15
,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
PCYT1B,7,45,5,11,5,11,6,5,7,0,1,2
,1,2,1,0,0,1,0,1,2,0,0,0
PAK1,119,82,91,162,103,98,89,65,163,40,95,101
,28,16,24,30,5,17,27,22,12,5,2,6
,0,2,8,16,1,18,23,4,4,2,12,19
GDPD4,3,18,21,1,1,0,2,2,4,3,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,68,0,0,0,1,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
PDK3,1937,2149,2528,1993,1022,1510,1330,1497,1650,1730,1584,1459
MYO7A,1848,250,335,83,47,28,18,132,124,201,62,52
CLDN34,32,13,22,22,5,8,10,2,10,1,11,5
,0,0,0,0,0,0,0,0,0,0,0,0
SLC51AL,16,60,59,16,3,7,10,19,2,61,2,0
,7,8,6,1,2,2,1,1,1,0,7,0
OMP,242,281,629,224,162,147,179,206,203,603,247,261
OMP,242,281,629,224,162,147,179,206,203,603,247,261
CDKL5,342,449,522,353,148,255,170,252,267,416,213,176
SHROOM2,2401,963,990,1158,829,719,658,847,1254,815,1221,1175
,0,0,0,0,0,0,0,0,0,0,0,0
,0,5,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,3,0,0,0,0,0
,267,44,35,153,26,154,82,49,39,92,18,55
,20,0,3,20,1,13,6,2,1,5,3,4
GPR143,6,6,10,8,13,11,5,10,20,0,11,30
ACER3,659,1045,1346,1023,481,705,671,800,656,754,698,550
,9,15,7,26,3,8,15,8,10,6,10,8
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,1,0,0,3,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
