"","Sacral_1","Free_1","Free_2","Sacral_2","Pygo_1","Sacral_3","Sacral_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"TTBK2",1185.10442054189,1818.17267456548,1674.6515687687,1175.39344375983,822.344962807815,1365.01143049945,1070.09904030308,1211.10846092105,754.716303240093,1361.13112760117,981.369046950798,935.465646783248
"TTC1",452.443635807823,526.426927772526,453.161055231409,468.197131863281,389.037584362588,524.404880722057,583.365028660209,393.275072181004,398.750337086036,350.745356453595,358.23754413114,354.163633822427
"TTC13",1043.59941510405,880.981408900635,788.772814180986,995.201632946105,846.492123216528,818.338826604484,825.539058962914,712.811068328069,705.086432958999,888.820619194907,846.819734601074,798.752025216536
"TTC14",385.414949021479,481.026658847586,509.380283887937,426.730397157194,461.479065588725,581.18757481298,454.523672637096,573.153727354701,491.164578299108,629.747344541683,656.768830907089,845.040889211565
"TTC17",2738.86661840867,2761.84969293389,2948.95408498334,2947.90786728733,3089.49502340359,3013.93633145352,3155.42024704755,2785.32600837285,3015.44246328581,2993.29275791648,2520.27680695076,2704.13084547701
"TTC19",520.403276577311,457.245565601188,566.451319039261,436.531625360451,830.394016277386,473.189117424362,435.436064337375,625.664887560688,699.952308447161,588.893482000213,592.85790754097,609.290628399676
"TTC21B",1158.10675503072,1018.26317445938,1096.2749588023,844.41350674215,980.643014376041,1120.06647559743,966.310170173353,1094.9135532312,861.677230570038,826.045171875087,813.182406513643,888.100297579033
"TTC24",1.86190796628734,45.4002689249407,22.1469688646929,3.01576252407911,48.2943208174247,17.8141785383289,4.77190207493014,29.0487269224605,30.8047470710242,21.9215847783497,30.2735952786878,17.2237633469873
"TTC26",388.20781097091,350.2306459924,470.197185127326,431.254040943312,325.986665517617,278.346539661389,363.857533213423,415.620246736743,347.409091967662,638.715265587371,398.602337836057,402.605468235828
"TTC27",825.756183048435,597.770207511719,631.188612643748,888.142063341297,732.463865730942,875.121520695407,876.837006268413,575.388244810275,632.353002374636,682.558435144071,708.065756240421,803.057966053283
"TTC28",3896.9733734394,5429.65597166612,6451.582391584,5360.51788655061,9044.45308197437,4701.82974796019,3986.92418360413,8225.25875396747,9034.34776599649,6533.62869961996,7804.70104948616,6843.21647479989
"TTC29",26.0667115280227,122.148342583769,29.8132273178558,21.8642782995735,16.0981069391416,15.5874062210378,25.0524858933832,22.3451745557388,6.84549934911649,55.8003976176175,15.9777308415297,44.135893576655
"TTC3",3580.44901917055,4224.38692758734,4333.99144552144,4265.7960903099,2399.95944284369,4169.63116412761,4293.51889191839,3057.93713795286,2570.48500559324,3663.89396499963,3069.40618797807,3684.8088710461
"TTC30B",273.700471044239,257.268190574664,260.65278740754,233.721595616131,222.690479324792,253.852044171187,257.682712046227,259.204024846571,172.848858565191,282.98773077506,149.686109989068,99.036639245177
"TTC32",134.057373572688,70.2623209552653,90.2914884483634,103.289866449709,52.3188475522101,103.544912754037,100.209943573533,51.3939014781993,50.4855576997341,52.811090602388,111.003182688522,102.266094872737
"TTC33",304.42195248798,245.377643951465,235.950399058459,224.674308043893,173.054649595772,286.140242771908,264.840565158623,214.513675735093,167.714734053354,369.677634216716,280.871689530048,151.784414495326
"TTC34",1.86190796628734,7.56671148749011,12.7770974219382,16.5866938824351,8.04905346957078,18.9275646969745,25.0524858933832,15.6416221890172,10.2682490236747,31.8859414957814,21.8642632568301,12.9178225102405
"TTC37",4148.33094888819,2332.70905571481,2254.7317917247,2714.1862716712,2971.44223918321,4409.0091882364,4436.6759541663,2377.52657273061,2559.36106915093,3982.75337995745,4111.32242548625,2749.34322426285
"TTC39A",1766.95066000668,291.858871660333,167.805879474788,251.816170760605,190.494265446509,266.099291916288,313.752561426657,220.099969374028,204.509293054855,167.401192852852,129.503713136609,293.880462107971
"TTC39B",1018.46365755917,852.876480518528,1240.2302564228,873.817191351921,328.669683340807,1003.16092893965,1101.11640379013,636.837474838557,347.409091967662,1009.38933547583,627.336168830587,674.956226160065
"TTC39C",579.053377515362,637.765682517024,715.51745562854,925.839094892286,621.118626068546,839.49316361875,909.047345274191,624.547628832901,845.419169615887,616.793680809022,905.685058754078,697.562415552986
"TTC7A",1173.00201876102,1617.11434075503,1788.79363907135,1578.75168135541,2398.61793393209,1332.72323189873,1312.27307060579,2185.35807155126,2358.27452577063,1667.03687882632,2170.44859484148,1631.95157712705
