"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARHGAP44",99.3773242280683,2.03094935614495,1.32730025649842,7.3552759614396,NA,NA
"ARHGAP45",1773.67712363943,-0.111065766740283,0.376944197760392,19.4602923622004,5.94636009646628e-05,0.00025867652730739
"ARHGAP5",3365.02001717412,-0.152214453575546,0.224112724565653,16.8519734182174,0.000219099036456001,0.000806804002575264
"ARHGAP6",929.631702851729,-1.60034915095415,0.271205070081671,51.5019398525885,6.55384034229492e-12,1.23559782299943e-10
"ARHGAP8",51.8944332364466,-0.392895634928796,0.78655964540476,12.0794087039825,0.00238226312086096,0.00631666352559
"ARHGDIA",7021.37071291972,-0.0240371961426848,0.129734839759096,4.77935253929618,0.0916593519892868,0.137070916393508
"ARHGDIB",1696.65916743167,-0.0957707471320337,0.325127017070264,8.6898150233915,0.0129727080160507,0.026525277201218
"ARHGDIG",266.908693364912,-0.641611110675833,0.243719248634894,6.89167231089603,0.0318780958521024,0.0567544557620323
"ARHGEF1",532.271780367777,-2.1773007944222,0.334852939288068,55.1270029901811,1.06985125077003e-12,2.24668762661706e-11
"ARHGEF10",2843.85264549572,-0.522239682481366,0.181546840139559,20.588094997685,3.38338932562213e-05,0.000159659179612125
"ARHGEF10L",1495.62412581003,-0.385722722943782,0.239266716980627,2.72559300079826,0.255944027650327,0.324663113096644
"ARHGEF11",2792.07220974204,-0.843165634823305,0.210670297234573,16.1275258964637,0.000314740223012155,0.00109930870434728
"ARHGEF12",13122.8092669569,-0.542602473351721,0.118823351678511,22.1456027775631,1.55289988445756e-05,8.1418589233088e-05
"ARHGEF16",188.85356169772,-0.472225134991701,0.378487477968491,1.58747211033494,0.452152369556239,0.518742321911416
"ARHGEF18",1803.40489465288,-0.0242658774746263,0.127435922237848,6.90326502704536,0.0316938534770382,0.056507954132931
"ARHGEF2",862.897073517259,-0.0129848592788983,0.268010314528719,5.57213055248494,0.0616633655120119,0.0984911408543463
"ARHGEF26",345.961350181962,-0.819409867513651,0.28449554842281,15.8725159055371,0.000357541916851724,0.00122701648813145
"ARHGEF28",1406.96212656887,-0.36483907020967,0.509590257570102,2.57851252093138,NA,NA
"ARHGEF3",771.854316962252,-0.319775320713352,0.209057329393537,13.3352819087004,0.00127139449372062,0.0036749933418787
"ARHGEF33",30.3996317176001,0.564430254813099,0.496414907852223,1.29352542890906,0.52373852648697,0.586012900490236
"ARHGEF37",183.772830884027,0.521608016754263,0.409205449026745,5.27084956009767,0.0716885110907638,0.11178065898972
"ARHGEF38",123.436696064606,1.36253789988491,0.432441332282267,17.6135907614863,0.000149712258805497,0.000577797278751628
"ARHGEF39",203.647171417722,2.22423731894898,0.534171306955018,17.8129092318914,0.000135511423361691,0.000531684115197697
"ARHGEF6",2671.61812743649,-0.557917984285656,0.168159178082914,16.359951076814,0.000280208794398356,0.000994892957728459
"ARHGEF7",2002.91386790528,-0.758914791784895,0.186070500092315,38.5072648906527,4.34764096725038e-09,5.20922423304456e-08
"ARHGEF7L",97.2982204065951,0.9381901224296,0.508458641372207,9.26733612151611,0.0097190435966428,0.020813673113333
"ARHGEF9",1520.41008290275,-1.4022676205177,0.160223244533925,88.7268939706514,5.41003127907011e-20,2.66038288148273e-18
"ARID1A",4901.7305479191,0.345270610740848,0.147626610525026,13.8868702899766,0.000964949157069121,0.00289043907404309
"ARID1B",6622.91313306453,0.398129666079521,0.127566555006562,12.1081325186507,0.00234829379471735,0.00623920832175917
"ARID2",4029.42196929993,0.359927001602089,0.134696609984909,7.20375517277273,0.0272724679304497,0.0497403286223407
"ARID3A",659.976826575332,1.04782190650511,0.304485741040969,27.1495792572106,1.27216596159481e-06,8.71393074796401e-06
"ARID3B",1349.44601185818,0.30181689399329,0.150116981221908,19.7265432712029,5.20517763563713e-05,0.000231293322499207
"ARID4A",1852.2973873413,-0.00699977465175069,0.139920219404103,0.560753458590966,0.755499069204824,0.793132895815276
"ARID4B",2213.27775607712,-0.402146101162335,0.16703127933445,6.05093964540109,0.048535013061615,0.0807955993191441
"ARID5A",562.511464892954,-0.679013312428378,0.184456127622369,15.2669250787465,0.00048398214647649,0.0015990921872104
"ARID5B",3786.2028975869,0.58173710616385,0.131232692589937,20.1721892606482,4.16547716568016e-05,0.000190768185911359
"ARIH1",2878.14484383257,0.285780381414574,0.11047888075762,13.6456599925449,0.00108863572374818,0.00321228669013938
"ARIH2",629.717773625658,0.14498461416622,0.165335064597032,19.9023457053563,4.76716892673572e-05,0.000214904994932525
"ARL1",1405.53385241363,-0.417390564442162,0.228460378862322,3.32966787925835,0.189222077661513,0.252310355955392
"ARL10",34.4429769283756,0.656833814851128,0.544147363569754,1.76820218639165,0.413085331650991,0.48174239961907
"ARL11",61.7182403562654,-0.585523178446594,0.346712099258651,4.35890036514579,0.113103699933297,0.163424322552984
"ARL13B",1010.20177086778,0.057610073173482,0.305633037430492,5.4698358783489,0.0648993325781688,0.102824798373949
"ARL14",12.6484736136957,-0.359155541120524,0.654603919080932,4.01566501992151,0.134279408754316,0.188460647177837
"ARL14EP",603.745451483372,0.418551645068566,0.170358447450636,13.0705956342196,0.00145129674238396,0.00410354675457967
"ARL15",1367.48963275986,0.066236944667438,0.299312448569175,19.5895242452895,5.57428101062646e-05,0.000245019234589994
"ARL16",79.7062229638435,0.258823902357752,0.450826938604229,2.59570899506461,0.27311713837389,0.341997715340971
"ARL3",1399.93998224746,-0.30175463982619,0.0999884286452958,10.221367949346,0.00603195580733795,0.0138662139536818
"ARL4A",985.517699060515,-0.458099044025395,0.362598366176158,4.59952084662589,0.100282866281938,0.147960793581627
"ARL4C",449.072634042709,-0.083305036861031,0.350235404578294,24.6233116362033,4.4989981554265e-06,2.72432920627725e-05
"ARL5A",3221.77311444263,-0.327647993610907,0.13220431511067,8.09742198963028,0.0174448466508945,0.034205695327107
"ARL5B",580.203358183195,-0.570535749565287,0.396445132104871,16.121563950581,0.000315679854913334,0.00110226439280686
"ARL6",258.98426367946,0.423809153280213,0.375455312119014,6.48712303693196,0.0390246602543035,0.0671775146326269
"ARL6IP1",1324.12906815551,-0.625328376541247,0.140206902268332,22.0606974549773,1.62024397131353e-05,8.44989807752644e-05
"ARL6IP4",568.370149275813,-0.480984417973126,0.17652616243602,10.8487029675663,0.00440792384517746,0.0106515801025357
"ARL6IP5",5136.30836584457,-0.46852197256174,0.130718584298155,52.4072101188531,4.16791560740262e-12,8.03753921545191e-11
"ARL8A",1248.79540017825,-0.535758710228101,0.187338204177428,8.20148728034513,0.0165603558757805,0.0327708450781291
"ARL8B",2855.13547659114,-0.177337928869628,0.110966394148229,10.6360770093128,0.00490236025739297,0.0116601482784667
"ARL8BL",287.101300306849,-1.86739089362344,0.259245192915998,56.0091514878411,6.88283385730046e-13,1.4862950942461e-11
"ARL9",324.9862302198,-0.217771217294038,0.197039853788132,1.24634909704247,0.536239414646742,0.597441477547517
"ARMC1",1267.62749150144,-0.10872186715563,0.198847277513581,8.82025133641039,0.0121536509064467,0.0250764664331964
"ARMC10",130.017845319436,0.000880622617319965,0.541944590191375,7.77204548861121,0.0205268243294846,0.0392856154878941
"ARMC2",114.198306364522,0.565440048159882,0.30424893386995,5.86159787788002,0.0533543942093606,0.0873475600581042
"ARMC3",16.733405314895,-1.33932688635746,0.754897643258523,5.5600521684443,0.0620368891722549,0.0990475332807024
"ARMC6",1014.57417042581,0.168632278041562,0.138606121509469,19.6904636179771,5.29993022820438e-05,0.000234747452632969
"ARMC7",304.077312752446,0.450687076651363,0.17832007507653,6.5807986086304,0.037238976742949,0.0645354350262581
"ARMC8",1541.00792415735,0.124976084938634,0.108712203291553,1.67951975362217,0.431814199583679,0.499879468708836
"ARMC9",3603.9962193436,1.18031994041889,0.231450209257204,28.3496406807802,6.98158040757218e-07,5.12416741108003e-06
