pathway,gene_id,symbol,label,module,log2FC_used,padj,present_in_data,node_status,signif_flag
osteoblast,ENSGALG00010008166,RUNX2,RUNX2,Transcription factors,-1.14607059190778,0.0683945948713598,TRUE,Present; not significant,FALSE
osteoblast,NA,SP7,Osterix,Transcription factors,-0.587284793140008,0.260594909218303,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010012407,ATF4,ATF4,Transcription factors,0.871550244277185,2.34361576474392e-9,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010025092,COL1A1,COL1A1,OB markers,2.62523345750131,5.25073018523773e-15,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010021115,ALPL,ALP,OB markers,-1.67071351487861,0.0180351222098247,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010028181,BGLAP,OCN,OB markers,-5.24340599070571,2.8977247835495e-11,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010003220,SPP1,OPN,OB markers,-2.26072371094015,1.77802210603782e-6,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010002428,IBSP,BSP,OB markers,-5.06548056546235,5.23180654482383e-7,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010024290,SOST,Sclerostin,Negative regulators,-6.52307958551043,1.09142598721629e-33,TRUE,Present; significant,TRUE
osteoblast,NA,DKK1,DKK1,Negative regulators,-6.17032941163546,9.717520726610589e-30,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010027734,CSF1,M-CSF,Ligand/Receptor,-1.06005408652475,4.95669435452131e-6,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010016804,CSF1R,CSF1R,Ligand/Receptor,-3.13975642961999,1.0993933883265e-23,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010003276,TNFSF11,RANKL,Ligand/Receptor,-0.888126565859417,0.0153187713283829,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010011976,TNFRSF11A,RANK,Ligand/Receptor,-1.1361609269956,2.9771309484062897e-19,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010009219,TNFRSF11B,OPG,Ligand/Receptor,2.1451979775222,2.98184394291662e-9,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010025204,TRAF6,TRAF6,Signaling cascade,0.288952501553179,0.161897883318631,TRUE,Present; not significant,FALSE
osteoclast,ENSGALG00010003218,MAP3K7,TAK1,Signaling cascade,-0.129857398182727,0.483995368892617,TRUE,Present; not significant,FALSE
osteoclast,ENSGALG00010027041,MAPK14,p38,Signaling cascade,-0.931736982801504,2.5307590179317e-4,TRUE,Present; significant,TRUE
osteoclast,NA,MAPK1,ERK,Signaling cascade,0.0252146844260956,0.91387677478537,TRUE,Present; not significant,FALSE
osteoclast,ENSGALG00010005476,NFKB1,NF-κB,Signaling cascade,0.610106933530188,1.06775327346124e-5,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010026886,JUN,c-Jun,Transcription factors,1.96638563571754,7.54279183660488e-10,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010006212,FOS,c-Fos,Transcription factors,1.04084061666603,0.00502165185919665,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010007252,NFATC1,NFATc1,Transcription factors,1.78701607027921,8.04002721412418e-14,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010003260,ACP5,TRAP,OC markers,-4.02901158706641,8.2315441076987e-4,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010028763,CTSK,CathK,OC markers,-1.83159076427999,4.63774481284828e-15,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010015061,MMP9,MMP9,OC markers,-1.23119294277269,0.0580821054801319,TRUE,Present; not significant,FALSE
osteoclast,ENSGALG00010003255,CALCR,CTR,OC markers,2.29427769175334,2.01563235716954e-6,TRUE,Present; significant,TRUE
osteoclast,ENSGALG00010013013,DCSTAMP,DC-STAMP,OC markers,-3.90871353758576,3.5614084356424597e-20,TRUE,Present; significant,TRUE
oxysterol,NA,IFNB1,IFNβ,IFN input,NA,NA,FALSE,Missing gene,FALSE
oxysterol,ENSGALG00010012049,IFNAR1,IFNAR1,IFN input,-0.894315640298338,7.0399855988037e-4,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010022134,CH25H,CH25H,Biosynthesis,-0.432689072536068,0.257615523855961,TRUE,Present; not significant,FALSE
oxysterol,ENSGALG00010003006,CYP7B1,CYP7B1,Biosynthesis,-1.1045266297737,8.24132017549165e-7,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010021541,CYP27A1,CYP27A1,Biosynthesis,-1.19191818027338,0.0105364977354109,TRUE,Present; significant,TRUE
