pathway	gene_symbol	NES	padj
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PMEPA1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IER5	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF9	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF6	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSC	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PTGS2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GCH1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RNF19B	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	LAMB3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	VEGFA	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EGR1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MCL1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SGK1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TLR2A	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CEBPD	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RCAN1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFRSF9	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CEBPB	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ZC3H12A	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MARCKS	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EGR3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_INFLAMMATORY_RESPONSE	PROK2	-1.594187536751527	0.007953360837048179
