Geneid,SYMBOL_display,sample,norm_count,log2_norm,condition
gene-HOXD4,HOXD4,E-6-29-33,11.5555016827183,3.65024777070582,anterior.sacral
gene-HOXD8,HOXD8,E-6-29-33,760.352010722864,9.57241982708486,anterior.sacral
gene-HOXD9,HOXD9,E-6-29-33,502.279139808822,8.97521499122955,anterior.sacral
gene-HOXD10,HOXD10,E-6-29-33,82.4292453367239,6.38248129038433,anterior.sacral
gene-HOXD11,HOXD11,E-6-29-33,0,0,anterior.sacral
gene-HOXD12,HOXD12,E-6-29-33,0,0,anterior.sacral
gene-HOXD13,HOXD13,E-6-29-33,0,0,anterior.sacral
gene-GDF11,GDF11,E-6-29-33,161.006656779208,7.33990928377995,anterior.sacral
gene-HOXA1,HOXA1,E-6-34-38,307.446783154281,8.26887779000145,posterior.sacral
gene-HOXA2,HOXA2,E-6-34-38,508.253809879795,8.99224105823859,posterior.sacral
gene-HOXA3,HOXA3,E-6-34-38,884.922891066784,9.79103732476645,posterior.sacral
gene-HOXA4,HOXA4,E-6-34-38,625.495179520778,9.29115959875008,posterior.sacral
gene-HOXA5,HOXA5,E-6-34-38,361.702097828566,8.5026412794946,posterior.sacral
gene-HOXA6,HOXA6,E-6-34-38,179.603800301081,7.49668444038884,posterior.sacral
gene-HOXA7,HOXA7,E-6-34-38,941.672702967473,9.88061314225658,posterior.sacral
gene-HOXA9,HOXA9,E-6-34-38,2360.41800048469,11.2054377238778,posterior.sacral
gene-HOXA10-AS,HOXA10-AS,E-6-34-38,460.23473827152,8.84935736461331,posterior.sacral
gene-HOXA10,HOXA10,E-6-34-38,1375.71522036175,10.42701444714,posterior.sacral
gene-HOXA11,HOXA11,E-6-34-38,416.581036809451,8.70591238750113,posterior.sacral
gene-HOXA13,HOXA13,E-6-34-38,4.9889944528078,2.58231379604808,posterior.sacral
gene-HOXB1,HOXB1,E-6-34-38,337.380749871128,8.40250368714687,posterior.sacral
gene-HOXB2,HOXB2,E-6-34-38,91.6727730703434,6.53407363734104,posterior.sacral
gene-HOXB3,HOXB3,E-6-34-38,1627.03581592194,10.6689167231388,posterior.sacral
gene-HOXB4,HOXB4,E-6-34-38,1014.01312253319,9.98728266398503,posterior.sacral
gene-HOXB5,HOXB5,E-6-34-38,1504.80545182815,10.5563196723258,posterior.sacral
gene-HOXB6,HOXB6,E-6-34-38,2514.45320421513,11.2966026356154,posterior.sacral
